"ID","Replicate Number","Destination Herbarium","NOCA Acc Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
11,1.00,"NOCA",764.00,32330.00,82879.00,,"2005 North Cascades National Park Foray","Poaceae","Festuca viridula","Festuca","viridula","Vasey",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"Jepson",,"Maria Gerace","05-","505",,"05-505","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Very common/abundant throughout basin. Glumes and lemmas purplish.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
12,2.00,"WTU",764.00,32331.00,82879.00,,"2005 North Cascades National Park Foray","Poaceae","Festuca viridula","Festuca","viridula","Vasey",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"Jepson",,"Maria Gerace","05-","505",,"05-505","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Very common/abundant throughout basin. Glumes and lemmas purplish.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
13,1.00,"NOCA",764.00,32332.00,82884.00,,"2005 North Cascades National Park Foray","Cyperaceae","Carex pachystachya","Carex","pachystachya","Cham.",,,,,,,,1.00,"P. F. Zika",,,2005.00,"FNA",,"Maria Gerace","05-","506",,"05-506","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Forming clumps, scattered.  Narrow form.",,"Native","Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
14,2.00,"WTU",764.00,32333.00,82884.00,,"2005 North Cascades National Park Foray","Cyperaceae","Carex pachystachya","Carex","pachystachya","Cham.",,,,,,,,1.00,"P. F. Zika",,,2005.00,"FNA",,"Maria Gerace","05-","506",,"05-506","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Forming clumps, scattered.  Narrow form.",,"Native","Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
15,1.00,"NOCA",764.00,32334.00,82885.00,,"2005 North Cascades National Park Foray","Saxifragaceae","Saxifraga occidentalis","Saxifraga","occidentalis","Wats.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","507",,"05-507","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Flowers white, fruits red, locally common, glandular pubescent stems.",,"Native","Flowering & Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
16,2.00,"WTU",764.00,32335.00,82885.00,,"2005 North Cascades National Park Foray","Saxifragaceae","Saxifraga occidentalis","Saxifraga","occidentalis","Wats.",,,,,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","507",,"05-507","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Flowers white, fruits red, locally common, glandular pubescent stems.",,"Native","Flowering & Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
17,1.00,"NOCA",764.00,32336.00,82886.00,,"2005 North Cascades National Park Foray","Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,,,,,1.00,"Mark Egger",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","508",,"05-508","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Occasional. Bracts pale salmon-orange.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
18,2.00,"WTU",764.00,32337.00,82886.00,,"2005 North Cascades National Park Foray","Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,,,,,1.00,"Mark Egger",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","508",,"05-508","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Occasional. Bracts pale salmon-orange.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
19,1.00,"NOCA",764.00,32338.00,82887.00,,"2005 North Cascades National Park Foray","Apiaceae","Lomatium geyeri","Lomatium","geyeri","(Wats.) Coult. & Rose",,,,,,,,1.00,"Sarah Gage",,"Aug",2005.00,"H&C",,"Maria Gerace","05-","509",,"05-509","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Scattered. Not many plants fertile.",,"Native","Fruiting",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
20,1.00,"NOCA",764.00,32339.00,82892.00,,"2005 North Cascades National Park Foray","Polygonaceae","Eriogonum umbellatum var. subalpinum","Eriogonum","umbellatum","Torr.","var.","subalpinum","(Greene) Jones",,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","510",,"05-510","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Growing over rock, Creamy white flowers.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
21,2.00,"WTU",764.00,32340.00,82892.00,,"2005 North Cascades National Park Foray","Polygonaceae","Eriogonum umbellatum var. subalpinum","Eriogonum","umbellatum","Torr.","var.","subalpinum","(Greene) Jones",,,,,1.00,"Sarah Gage",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","510",,"05-510","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Growing over rock, Creamy white flowers.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
22,1.00,"NOCA",764.00,32341.00,82896.00,,"2005 North Cascades National Park Foray","Caryophyllaceae","Arenaria capillaris","Arenaria","capillaris","Poir.",,,,,,,,1.00,"Laura Potash",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","511",,"05-511","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Petals white, abundant to dominant throughout basin.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
23,2.00,"WTU",764.00,32342.00,82896.00,,"2005 North Cascades National Park Foray","Caryophyllaceae","Arenaria capillaris","Arenaria","capillaris","Poir.",,,,,,,,1.00,"Laura Potash",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","511",,"05-511","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Petals white, abundant to dominant throughout basin.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
24,1.00,"NOCA",764.00,32343.00,82901.00,,"2005 North Cascades National Park Foray","Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,,,,,1.00,"Mark Egger",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","512",,"05-512","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Bracts brilliantly orange red. Common throughout basin.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
25,2.00,"WTU",764.00,32344.00,82901.00,,"2005 North Cascades National Park Foray","Scrophulariaceae","Castilleja elmeri","Castilleja","elmeri","Fern.",,,,,,,,1.00,"Mark Egger",,"Sep",2005.00,"H&C",,"Maria Gerace","05-","512",,"05-512","Sarah Gage, Rich Gwozdz",23.00,"Jul",2005.00,"USA","Washington","Chelan","North Cascades National Park, Lake Chelan/Sawtooth National Recreation Area, basin south of Rennie Peak and west of Reynolds Peak, about 5 air miles northeast of Stehekin.",6684.00,,2037.00,,48.00,22.55,0.00,"N",120.00,34.80,0.00,"W","WGS 84",5.00,"GPS reading",10.00,679191.05,5360909.00,"WGS 84",5.00,"Calc. from Lat-Long","33N","18E","11","NW 1/4","Upland slope in basin. Lush upland meadow with scattered Larix lyalli and rock outcrops.","Bracts brilliantly orange red. Common throughout basin.",,"Native","Flowering",,"{6486CF60-F1EB-4935-97F1-3EA0FDC494CB}",679191.04,5360908.99,"NAD83","OK","Natalya Antonova"
