"ID","Replicate Number","Destination Herbarium","NOCA Acc Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number Numeric","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
11,2.00,"WTU",656.00,24425.00,3457.00,357997.00,"2003 North Cascades National Park Foray","Scrophulariaceae","Castilleja miniata","Castilleja","miniata","Dougl. ex. Hook.",,,,,,,,1.00,"David Giblin",19.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7497.00,,"7497","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers pink to red, varying in this population.  Common on slope uphill from stream.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
12,3.00,"UBC",656.00,24558.00,3457.00,357997.00,"2003 North Cascades National Park Foray","Scrophulariaceae","Castilleja miniata","Castilleja","miniata","Dougl. ex. Hook.",,,,,,,,1.00,"David Giblin",19.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7497.00,,"7497","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers pink to red, varying in this population.  Common on slope uphill from stream.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
13,1.00,"NOCA",656.00,24218.00,3459.00,357967.00,"2003 North Cascades National Park Foray","Fabaceae","Lupinus latifolius","Lupinus","latifolius","Agardh",,,,,,,,1.00,"David Giblin",19.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7501.00,,"7501","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Corollas blue-purple.  Common but mostly past flower.  This patch near stream on west-facing bank.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
14,2.00,"WTU",656.00,24429.00,3459.00,357967.00,"2003 North Cascades National Park Foray","Fabaceae","Lupinus latifolius","Lupinus","latifolius","Agardh",,,,,,,,1.00,"David Giblin",19.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7501.00,,"7501","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Corollas blue-purple.  Common but mostly past flower.  This patch near stream on west-facing bank.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
15,3.00,"UBC",656.00,24561.00,3459.00,357967.00,"2003 North Cascades National Park Foray","Fabaceae","Lupinus latifolius","Lupinus","latifolius","Agardh",,,,,,,,1.00,"David Giblin",19.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7501.00,,"7501","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Corollas blue-purple.  Common but mostly past flower.  This patch near stream on west-facing bank.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
16,1.00,"NOCA",656.00,24219.00,3460.00,357966.00,"2003 North Cascades National Park Foray","Rosaceae","Potentilla fruticosa","Potentilla","fruticosa","L.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7502.00,,"7502","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Low shrubs on drier part of slope above stream.  Flowers yellow.  Leaves gray-green.",,"Native","Flowering",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
17,2.00,"WTU",656.00,24430.00,3460.00,357966.00,"2003 North Cascades National Park Foray","Rosaceae","Potentilla fruticosa","Potentilla","fruticosa","L.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7502.00,,"7502","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Low shrubs on drier part of slope above stream.  Flowers yellow.  Leaves gray-green.",,"Native","Flowering",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
18,3.00,"UBC",656.00,24562.00,3460.00,357966.00,"2003 North Cascades National Park Foray","Rosaceae","Potentilla fruticosa","Potentilla","fruticosa","L.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7502.00,,"7502","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Low shrubs on drier part of slope above stream.  Flowers yellow.  Leaves gray-green.",,"Native","Flowering",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
19,1.00,"NOCA",656.00,24221.00,3461.00,357968.00,"2003 North Cascades National Park Foray","Campanulaceae","Campanula rotundifolia","Campanula","rotundifolia","L.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7504.00,,"7504","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers brilliant blue-purple.  Plants in clumps uphill from stream.  Common.",,"Native","Flowering",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
20,2.00,"WTU",656.00,24432.00,3461.00,357968.00,"2003 North Cascades National Park Foray","Campanulaceae","Campanula rotundifolia","Campanula","rotundifolia","L.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7504.00,,"7504","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers brilliant blue-purple.  Plants in clumps uphill from stream.  Common.",,"Native","Flowering",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
21,3.00,"UBC",656.00,24564.00,3461.00,357968.00,"2003 North Cascades National Park Foray","Campanulaceae","Campanula rotundifolia","Campanula","rotundifolia","L.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7504.00,,"7504","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Flowers brilliant blue-purple.  Plants in clumps uphill from stream.  Common.",,"Native","Flowering",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
22,1.00,"NOCA",656.00,24222.00,3462.00,357971.00,"2003 North Cascades National Park Foray","Rosaceae","Spiraea betulifolia","Spiraea","betulifolia","Pall.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7505.00,,"7505","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Mostly in fruit.  Shrubs about 1 foot tall.  Scattered on slopes uphill from stream.  Plants by stream in flower.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
23,2.00,"WTU",656.00,24433.00,3462.00,357971.00,"2003 North Cascades National Park Foray","Rosaceae","Spiraea betulifolia","Spiraea","betulifolia","Pall.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7505.00,,"7505","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Mostly in fruit.  Shrubs about 1 foot tall.  Scattered on slopes uphill from stream.  Plants by stream in flower.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
24,3.00,"UBC",656.00,24565.00,3462.00,357971.00,"2003 North Cascades National Park Foray","Rosaceae","Spiraea betulifolia","Spiraea","betulifolia","Pall.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7505.00,,"7505","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Mostly in fruit.  Shrubs about 1 foot tall.  Scattered on slopes uphill from stream.  Plants by stream in flower.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
25,4.00,"OSU",656.00,24634.00,3462.00,357971.00,"2003 North Cascades National Park Foray","Rosaceae","Spiraea betulifolia","Spiraea","betulifolia","Pall.",,,,,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7505.00,,"7505","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","Mostly in fruit.  Shrubs about 1 foot tall.  Scattered on slopes uphill from stream.  Plants by stream in flower.",,"Native",,,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
26,1.00,"NOCA",656.00,24227.00,3463.00,357976.00,"2003 North Cascades National Park Foray","Rosaceae","Sorbus sitchensis var. grayi","Sorbus","sitchensis","Roemer","var.","grayi","(Wenzig) Hitchc.",,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7510.00,,"7510","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","In fruit.  Berries bright red-orange.  Shrubby trees.  Abundant on slope.  1-2 meters tall.",,"Native","Fruiting",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
27,2.00,"WTU",656.00,24438.00,3463.00,357976.00,"2003 North Cascades National Park Foray","Rosaceae","Sorbus sitchensis var. grayi","Sorbus","sitchensis","Roemer","var.","grayi","(Wenzig) Hitchc.",,,,,1.00,"David Giblin",18.00,"Sep",2003.00,"H&C",,"Sarah Gage",,7510.00,,"7510","Cheryl Soldati",23.00,"Aug",2003.00,"USA","Washington","Skagit","North Cascades National Park.  Fisher Creek Basin.  In avalanche chute west of Fisher Creek camp, on north side of Fisher Creek.",5429.00,,1655.00,,48.00,34.29,44.88,"N",120.00,51.64,9.76,"W",,,"Field notes",10.00,657809.26,5382045.77,"WGS 84",,"Calc. from Lat-Long",,,,,"Herbaceous meadow along small stream and avalanche chute vegetation (Alnus, Sorbus).  South facing slope.","In fruit.  Berries bright red-orange.  Shrubby trees.  Abundant on slope.  1-2 meters tall.",,"Native","Fruiting",,"{76AC2922-1F9D-457C-B148-6E8C22B75FBF}",657809.25,5382045.76,"NAD83","OK","Natalya Antonova"
