geometry,Bed Name,Location,Survey Date,Survey #,Acres,Miles,County,Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW),CORRECTED DEPTH: Edge farthest from shore (m MLLW),Total Bulbs/Meter-Squared,Water Temp (C),Weather,Tide Station,Tide Ht Start (ft),Observations,Additional Observations,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,SurveyDate_Converted,SurveyID
Geocortex.Gis.Geometries.Polygon,Mukilteo H,Mukilteo,"July 16, 2015",1,0.062959259024316,0.0693847028250205,Snohomish,01:22 PM,01:32 PM,0.793,0.671,,16,,Everett,-0.4,"Just north of houses, runs on a line to NW.
Observers counted all bulbs in entire bed and averaged counts = 57 total plants (Taylor 61, Lincoln 53)
Density = 57 bulbs/254.79 m2 = 0.22 bulbs/m2
* area of bed calculated in GIS",,,,,,2015-07-16T00:00:00.0000000,"Mukilteo H July 16, 2015"
Geocortex.Gis.Geometries.Polygon,Meadowdale 3 (A),Meadowdale,"July 17, 2015",1,0.068170955590327,0.0552272036066271,Snohomish,12:03 PM,12:16 PM,0.427,0.5795,0.134680137038231,,,Everett,-1,"By the Lynnwood treatment plant.
Small bed associated with old pilings",,,,,,2015-07-17T00:00:00.0000000,"Meadowdale 3 (A) July 17, 2015"
Geocortex.Gis.Geometries.Polygon,Meadowdale 1 (C),Meadowdale,"July 17, 2015",1,0.64750121006018,0.127350283348839,Snohomish,12:50 PM,01:12 PM,0.7625,1.403,0.101010099053383,,,Everett,-1.2,,,,,,,2015-07-17T00:00:00.0000000,"Meadowdale 1 (C) July 17, 2015"
Geocortex.Gis.Geometries.Polygon,Edmond 3 (A),Edmonds North,"July 14, 2015",1,0.931600209484486,0.283562436741362,Snohomish,09:34 AM,10:05 AM,0.41175,0.53375,2.15488219261169,15,,Everett - NOAA 9447659,-1,"Some intermixed samm (sargassum muticum) and eelgrass. Bare areas just outside bed. Some lamanaria saccarina interspered, moon snail eggs. Most kelp looks pretty healthy, some kind of bleached, some of the whips are spiraled, lots of crabs, some of the kelp leaves seem to have air bubbles in them.",,,,,,2015-07-14T00:00:00.0000000,"Edmond 3 (A) July 14, 2015"
Geocortex.Gis.Geometries.Polygon,Edmond 3 (C),Edmonds North,"July 14, 2015",1,0.441774852437827,0.187356510526544,Snohomish,10:26 AM,10:35 AM,0.7015,0.65575,1.81818175315857,15,,Edmonds,-1.8,"Shallower bed, parallel to large EDB. SAMM, LASA intermixed
Some zosteria japonica higher on beach (out of water about 10 ft from railroad revetment)",,,,,,2015-07-14T00:00:00.0000000,"Edmond 3 (C) July 14, 2015"
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"Sept 12, 2015",1,2.42284347398193,0.301371146316479,Jefferson,02:55 PM,03:08 PM,,,1.26186144351959,,,9444900,6.03,,,,,,,2015-09-12T00:00:00.0000000,"North Beach East Sept 12, 2015"
Geocortex.Gis.Geometries.Polygon,North Beach West,North Beach,"Sept 12, 2015",1,0.813058359444147,0.149820027781922,Jefferson,03:35 PM,03:42 PM,,,1.80265927314758,,,9444900,6.9,"High tide, bulbs under surface, small clusters of bulbs >8m away from the main bed. No bulbs on surface inbetween them, but they are clearly connected",,,,,,2015-09-12T00:00:00.0000000,"North Beach West Sept 12, 2015"
Geocortex.Gis.Geometries.Polygon,Libbey Beach,Libbey Beach,"June 14, 2015",1,0.755370747199,0.193285200654573,Island,12:00 AM,12:00 AM,,,,,,,,,,,,,,2015-06-14T00:00:00.0000000,"Libbey Beach June 00, 2015"
Geocortex.Gis.Geometries.Polygon,Libbey Beach,Libbey Beach,"July 18, 2015",1,0.580953128075,0.205804608495316,Island,06:40 AM,07:16 AM,-0.7625,0.0548999999999999,0.488888889551163,,,Point Partridge,5,,,,,,,2015-07-18T00:00:00.0000000,"Libbey Beach July 18, 2015"
Geocortex.Gis.Geometries.Polygon,Hastie Lake,Hastie Lake Launch,"June 15, 2015",1,13.2873103922,1.19813512522423,Island,12:00 AM,12:00 AM,,,,,,,,,,,,,,2015-06-15T00:00:00.0000000,"Hastie Lake June 15, 2015"
Geocortex.Gis.Geometries.Polygon,Hastie Lake,Hastie Lake Launch,"July 27, 2015",1,12.2602266409,1.82132944720968,Island,02:17 PM,04:28 PM,-0.8418,0.14945,0.844444453716278,13.8,,Sunset Beach 9447951,5.5,,,,,,,2015-07-27T00:00:00.0000000,"Hastie Lake July 27, 2015"
Geocortex.Gis.Geometries.Polygon,Hastie Lake,Hastie Lake Launch,"Aug 23, 2015",1,14.5470994014,1.77006064028858,Island,12:00 AM,12:00 AM,,,,,,,,,,,,,,2015-08-23T00:00:00.0000000,"Hastie Lake Aug 23, 2015"
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebeys Landing,"June 14, 2015",1,9.49077941151902,0.760353765040577,Island,09:23 AM,10:18 AM,0.82655,1.805295,1.75896537303925,11,,Admiralty Head,-1.5,"1) Lots (10^6) of probably kelp crab  zoea in kelp beds (soup)!
2) Inshore is a mixture of bull kelp, feather boa, and eelgrass",,,,,,2015-06-14T00:00:00.0000000,"Ebey's Landing June 14, 2015"
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebeys Landing,"July 19, 2015",1,14.6257562899415,0.953516338777643,Island,12:20 PM,01:28 PM,0.549,1.6714,1.8222222328186,13,,Admiralty Head,0,,,,,,,2015-07-19T00:00:00.0000000,"Ebey's Landing July 19, 2015"
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebeys Landing,"Aug 15, 2015",1,18.3718462794961,1.23162679944048,Island,11:13 AM,12:31 PM,0.69235,1.6775,1.20000004768372,13,,Admiralty Head,0,,,,,,,2015-08-15T00:00:00.0000000,"Ebey's Landing Aug 15, 2015"
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebeys Landing,"Sept 26, 2015",1,17.8857633901287,1.10943329353726,Island,08:40 AM,09:46 AM,0.3965,1.7995,1.68888890743256,12,,Admiralty head,0.5,"Lots of heer,ams gulls, glavcous winged gulls, western gulls, school of small (<100 mm )salmonics in kelp, occasionally jumping adult salmonids (trout-like); many perch-like fish, few cyanne jellyfish",,,,,,2015-09-26T00:00:00.0000000,"Ebey's Landing Sept 26, 2015"
Geocortex.Gis.Geometries.Polygon,Pole Pass,Pole Pass,"Aug 26, 2015",1,0.386058624407,0.152379554331706,San Juan,09:00 AM,09:30 AM,0,1.342,1.20756757259369,10.56,,Friday Harbor,0,,,,,,,2015-08-26T00:00:00.0000000,"Pole Pass Aug 26, 2015"
Geocortex.Gis.Geometries.Polygon,Hastie Lake,Hastie Lake Launch,"Sept 20, 2015",1,10.01064901,1.98320732687276,Island,12:00 AM,12:00 AM,,,,,,,,,,,,,,2015-09-20T00:00:00.0000000,"Hastie Lake Sept 20, 2015"
