"ID","Replicate Number","Destination Herbarium","NOCA Accession Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
11,1.00,"NOCA",656.00,12330.00,6169.00,,"2004 North Cascades National Park Forays","Juncaceae","Juncus drummondii","Juncus","drummondii","E. Meyer",,,,,,,,1.00,"Sarah Gage",13.00,"Oct",2004.00,"FNA Vol. 22",,"Sarah Gage",,7563.00,,"7563","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist meadow.","Occasional.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
12,2.00,"WTU",656.00,12331.00,6169.00,,"2004 North Cascades National Park Forays","Juncaceae","Juncus drummondii","Juncus","drummondii","E. Meyer",,,,,,,,1.00,"Sarah Gage",13.00,"Oct",2004.00,"FNA Vol. 22",,"Sarah Gage",,7563.00,,"7563","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist meadow.","Occasional.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
13,1.00,"NOCA",656.00,12332.00,6170.00,,"2004 North Cascades National Park Forays","Ericaceae","Gaultheria humifusa","Gaultheria","humifusa","(Grah.) Rydb.",,,,,,,,1.00,"Sarah Gage",5.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7564.00,,"7564","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Growing with cryptogams and Vaccinium deliciosum in a locally dry site.","Red berries.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
14,2.00,"WTU",656.00,12333.00,6170.00,360445.00,"2004 North Cascades National Park Forays","Ericaceae","Gaultheria humifusa","Gaultheria","humifusa","(Grah.) Rydb.",,,,,,,,1.00,"Sarah Gage",5.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7564.00,,"7564","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Growing with cryptogams and Vaccinium deliciosum in a locally dry site.","Red berries.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
15,1.00,"NOCA",656.00,12334.00,6171.00,,"2004 North Cascades National Park Forays","Ericaceae","Kalmia microphylla","Kalmia","microphylla","(Hook.) Heller",,,,,,,,1.00,"Sarah Gage",5.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7565.00,,"7565","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In moist meadow.","Fruit only; scattered.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
16,2.00,"WTU",656.00,12335.00,6171.00,,"2004 North Cascades National Park Forays","Ericaceae","Kalmia microphylla","Kalmia","microphylla","(Hook.) Heller",,,,,,,,1.00,"Sarah Gage",5.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7565.00,,"7565","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In moist meadow.","Fruit only; scattered.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
17,3.00,"UBC",656.00,12336.00,6171.00,,"2004 North Cascades National Park Forays","Ericaceae","Kalmia microphylla","Kalmia","microphylla","(Hook.) Heller",,,,,,,,1.00,"Sarah Gage",5.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7565.00,,"7565","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In moist meadow.","Fruit only; scattered.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
18,1.00,"NOCA",656.00,12337.00,6172.00,,"2004 North Cascades National Park Forays","Orchidaceae","Spiranthes romanzoffiana var. romanzoffiana","Spiranthes","romanzoffiana","Cham.","var.","romanzoffiana",,,,,,1.00,"Sarah Gage",28.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7566.00,,"7566","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In wet meadow.","Flowers white with licorice and plastic smell; lip with little to no constriction; common.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
19,2.00,"WTU",656.00,12338.00,6172.00,,"2004 North Cascades National Park Forays","Orchidaceae","Spiranthes romanzoffiana var. romanzoffiana","Spiranthes","romanzoffiana","Cham.","var.","romanzoffiana",,,,,,1.00,"Sarah Gage",28.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7566.00,,"7566","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In wet meadow.","Flowers white with licorice and plastic smell; lip with little to no constriction; common.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
20,3.00,"UBC",656.00,12339.00,6172.00,,"2004 North Cascades National Park Forays","Orchidaceae","Spiranthes romanzoffiana var. romanzoffiana","Spiranthes","romanzoffiana","Cham.","var.","romanzoffiana",,,,,,1.00,"Sarah Gage",28.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7566.00,,"7566","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In wet meadow.","Flowers white with licorice and plastic smell; lip with little to no constriction; common.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
21,1.00,"NOCA",656.00,12340.00,6173.00,,"2004 North Cascades National Park Forays","Scrophulariaceae","Castilleja miniata var. miniata","Castilleja","miniata","Dougl. ex. Hook.","var.","miniata",,,,,,1.00,"Sarah Gage",23.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7567.00,,"7567","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In wet meadow.","Red flowers; scattered.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
22,2.00,"WTU",656.00,12341.00,6173.00,,"2004 North Cascades National Park Forays","Scrophulariaceae","Castilleja miniata var. miniata","Castilleja","miniata","Dougl. ex. Hook.","var.","miniata",,,,,,1.00,"Sarah Gage",23.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7567.00,,"7567","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"In wet meadow.","Red flowers; scattered.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
23,1.00,"NOCA",656.00,12342.00,6174.00,,"2004 North Cascades National Park Forays","Juncaceae","Juncus ensifolius var. ensifolius","Juncus","ensifolius","Wikst.","var.","ensifolius",,,,,,1.00,"Sarah Gage",15.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7568.00,,"7568","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,,"Heads dark brown; common but scattered.",,"Native","Flowering & Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
24,2.00,"WTU",656.00,12343.00,6174.00,,"2004 North Cascades National Park Forays","Juncaceae","Juncus ensifolius var. ensifolius","Juncus","ensifolius","Wikst.","var.","ensifolius",,,,,,1.00,"Sarah Gage",15.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7568.00,,"7568","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,,"Heads dark brown; common but scattered.",,"Native","Flowering & Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
25,1.00,"NOCA",656.00,12344.00,6175.00,,"2004 North Cascades National Park Forays","Asteraceae","Aster foliaceus var. parryi ?","Aster","foliaceus","Lindl.","var.","parryi","(Eat.) Gray",,,,"?",1.00,"Sarah Gage",30.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7569.00,,"7569","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist meadow.","Rays deep lavender, disks yellow; common in drier parts of moist meadow.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
26,2.00,"WTU",656.00,12345.00,6175.00,,"2004 North Cascades National Park Forays","Asteraceae","Aster foliaceus var. parryi ?","Aster","foliaceus","Lindl.","var.","parryi","(Eat.) Gray",,,,"?",1.00,"Sarah Gage",30.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7569.00,,"7569","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist meadow.","Rays deep lavender, disks yellow; common in drier parts of moist meadow.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
27,3.00,"UBC",656.00,12346.00,6175.00,,"2004 North Cascades National Park Forays","Asteraceae","Aster foliaceus var. parryi ?","Aster","foliaceus","Lindl.","var.","parryi","(Eat.) Gray",,,,"?",1.00,"Sarah Gage",30.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7569.00,,"7569","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist meadow.","Rays deep lavender, disks yellow; common in drier parts of moist meadow.",,"Native","Flowering",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
28,1.00,"NOCA",656.00,12347.00,6176.00,,"2004 North Cascades National Park Forays","Ericaceae","Ledum glandulosum var. glandulosum","Ledum","glandulosum","Nutt.","var.","glandulosum",,,,,,1.00,"Sarah Gage",5.00,"Oct",2004.00,"H&C",,"Sarah Gage",,7571.00,,"7571","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,,"Growing at lake edge with conifers; in fruit.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
29,1.00,"NOCA",656.00,12348.00,6177.00,,"2004 North Cascades National Park Forays","Scrophulariaceae","Castilleja parviflora var. albida","Castilleja","parviflora","Bong.","var.","albida","(Pennell) Ownbey",,,,,1.00,"Sarah Gage",23.00,"Sep",2004.00,"H&C",,"Sarah Gage",,7572.00,,"7572","Steve Walker, Leslie Batten, Steve Karafit",7.00,"Aug",2004.00,"USA","Washington","Chelan","North Cascades National Park Complex, Lake Chelan National Recreation Area, McAlester Lake, southeastern shore.",5606.00,,1709.00,,48.00,25.70,19.00,"N",120.00,40.39,56.00,"W","NAD 27",11.00,"GPS reading",10.00,672121.90,5366313.29,"NAD 27",11.00,"Calc. from Lat-Long",,,,,"Moist meadow.","Flowers white;  common, but mostly in fruit.",,"Native","Fruiting",,"{131C3550-E1CA-4509-8B54-95DEBABC43F1}",672027.19,5366513.75,"NAD83","OK","Natalya Antonova"
