"ID","Replicate Number","Herbarium Destination","NOCA Acc .","NOCA Catalog .","Label title","Family","Full Scientific Name","Genus","species","Author","Subtaxon rank","Subtaxon","Subtaxon author","Subtaxon2 rank","Subtaxon2 author","Determination Notes","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination_Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper elevation range (ft)","Elevation (meters)","Upper elevation range (meters)","Degrees Lat","Minutes Lat","Seconds Lat","Degrees Long","Minutes Long","Seconds Long","Datum","Accuracy (meters)","Source","UTM Zone","Easting","Northing","Datum_UTM","Accuracy (m)","Source_UTM","Site Description","Specimen Details","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
11,2.00,"Stehekin","NOCA-00832","NOCA 31033","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"FNA",,"Dale Blum","06-",5.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Flowers white.","Native","Flowering",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
12,3.00,"WTU","NOCA-00832","NOCA 31034","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"FNA",,"Dale Blum","06-",5.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Flowers white.","Native","Flowering",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
13,1.00,"NOCA","NOCA-00832","NOCA 31461","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",28.00,"Sep",2006.00,"FNA Vol. 19",,"Anders Huseth","06-",2.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Uncommon. Scattered patchy among pinegrass swards.","Native","Flowering",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
14,2.00,"Stehekin","NOCA-00832","NOCA 31462","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",28.00,"Sep",2006.00,"FNA Vol. 19",,"Anders Huseth","06-",2.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Uncommon. Scattered patchy among pinegrass swards.","Native","Flowering",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
15,3.00,"WTU","NOCA-00832","NOCA 31463","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",28.00,"Sep",2006.00,"FNA Vol. 19",,"Anders Huseth","06-",2.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Uncommon. Scattered patchy among pinegrass swards.","Native","Flowering",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
16,1.00,"NOCA","NOCA-00832","NOCA 32017","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",24.00,"Oct",2006.00,"FNA vol. 19",,"Steve Hahn","06-",305.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  South side of Stiletto Peak, northeast of Stiletto Lake, along the bottom of cliff bands, just above a large talus slope, about 250 feet above the lake.  On the border of Okanogan National Forest and North Cascades National Park.",7050.00,,2149.00,,48.00,28.00,59.84,120.00,39.00,13.20,,,"Calc. from UTM",10.00,673379.00,5372677.00,"NAD 83",,"GPS reading","Mixed talus, scree, and bedrock.  Plants are relegated to cracks in bedrock or on the uphill side of stable talus.  Soils are very shallow and rocky.  Very exposed and harsh site - alpine!  Aspect: 2328; slope: 30-368.","Scattered scree and talus; uncommon; all plants smaller than usual at 2-3 decimeters.","Native","Flowering",,"{D4A7DAF7-11BB-4923-AD51-628B1F69EE34}",673379.00,5372677.00,"NAD83","OK","Natalya Antonova"
17,2.00,"WTU","NOCA-00832","NOCA 32018","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",24.00,"Oct",2006.00,"FNA vol. 19",,"Steve Hahn","06-",305.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  South side of Stiletto Peak, northeast of Stiletto Lake, along the bottom of cliff bands, just above a large talus slope, about 250 feet above the lake.  On the border of Okanogan National Forest and North Cascades National Park.",7050.00,,2149.00,,48.00,28.00,59.84,120.00,39.00,13.20,,,"Calc. from UTM",10.00,673379.00,5372677.00,"NAD 83",,"GPS reading","Mixed talus, scree, and bedrock.  Plants are relegated to cracks in bedrock or on the uphill side of stable talus.  Soils are very shallow and rocky.  Very exposed and harsh site - alpine!  Aspect: 2328; slope: 30-368.","Scattered scree and talus; uncommon; all plants smaller than usual at 2-3 decimeters.","Native","Flowering",,"{D4A7DAF7-11BB-4923-AD51-628B1F69EE34}",673379.00,5372677.00,"NAD83","OK","Natalya Antonova"
18,3.00,"UBC","NOCA-00832","NOCA 32019","2006 North Cascades National Park Foray","Asteraceae","Achillea millefolium","Achillea","millefolium","L.",,,,,,,"Ben Legler",24.00,"Oct",2006.00,"FNA vol. 19",,"Steve Hahn","06-",305.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  South side of Stiletto Peak, northeast of Stiletto Lake, along the bottom of cliff bands, just above a large talus slope, about 250 feet above the lake.  On the border of Okanogan National Forest and North Cascades National Park.",7050.00,,2149.00,,48.00,28.00,59.84,120.00,39.00,13.20,,,"Calc. from UTM",10.00,673379.00,5372677.00,"NAD 83",,"GPS reading","Mixed talus, scree, and bedrock.  Plants are relegated to cracks in bedrock or on the uphill side of stable talus.  Soils are very shallow and rocky.  Very exposed and harsh site - alpine!  Aspect: 2328; slope: 30-368.","Scattered scree and talus; uncommon; all plants smaller than usual at 2-3 decimeters.","Native","Flowering",,"{D4A7DAF7-11BB-4923-AD51-628B1F69EE34}",673379.00,5372677.00,"NAD83","OK","Natalya Antonova"
19,1.00,"NOCA","NOCA-00832","NOCA 31467","2006 North Cascades National Park Foray","Poaceae","Achnatherum lemmonii var. lemmonii","Achnatherum","lemmonii","(Vasey) Barkw.","var.","lemmonii",,,,,"Ben Legler",28.00,"Sep",2006.00,"Ill. Fl. of B.C.",,"Anders Huseth","06-",3.00,"B","Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Bunchgrass. common. 3 - 3.5 feet tall.","Native","Fertile",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
20,1.00,"NOCA","NOCA-00832","NOCA 31551","2006 North Cascades National Park Foray","Poaceae","Achnatherum lemmonii var. lemmonii","Achnatherum","lemmonii","(Vasey) Barkw.","var.","lemmonii",,,,,"Ben Legler",5.00,"Oct",2006.00,"Ill. Fl. of B.C.",,"Anders Huseth","06-",32.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Bunchgrass. Uncommon.","Native","Flowering",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
21,2.00,"Stehekin","NOCA-00832","NOCA 31552","2006 North Cascades National Park Foray","Poaceae","Achnatherum lemmonii var. lemmonii","Achnatherum","lemmonii","(Vasey) Barkw.","var.","lemmonii",,,,,"Ben Legler",5.00,"Oct",2006.00,"Ill. Fl. of B.C.",,"Anders Huseth","06-",32.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Bunchgrass. Uncommon.","Native","Flowering",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
22,3.00,"WTU","NOCA-00832","NOCA 31553","2006 North Cascades National Park Foray","Poaceae","Achnatherum lemmonii var. lemmonii","Achnatherum","lemmonii","(Vasey) Barkw.","var.","lemmonii",,,,,"Ben Legler",5.00,"Oct",2006.00,"Ill. Fl. of B.C.",,"Anders Huseth","06-",32.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Bunchgrass. Uncommon.","Native","Flowering",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
23,1.00,"NOCA","NOCA-00832","NOCA 31222","2006 North Cascades National Park Foray","Ranunculaceae","Actaea rubra","Actaea","rubra","Willd.",,,,,,,"Ben Legler",5.00,"Oct",2006.00,"FNA Vol. 3",,"Tricia Downey",,5.00,,,28.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. Along Purple Creek Pass Trail where it crosses Purple Creek. Circa 1.5 trail miles east of Stehekin.",2600.00,,793.00,,48.00,18.00,46.00,120.00,37.00,50.00,"WGS 84",19.00,"GPS Reading",10.00,675668.00,5353790.00,"WGS 84",19.00,"GPS Reading","Moist stream gully dominated by Acer macrophyllum, Cornus sericea, Rubus parviflora.","Stems to 1 meter tall; leaves 3-4 times compound. Uncommon.","Native","Fruiting",,"{695A4380-7CC2-469A-B78D-4A43073B4976}",675667.99,5353789.99,"NAD83","OK","Natalya Antonova"
24,2.00,"Stehekin","NOCA-00832","NOCA 31223","2006 North Cascades National Park Foray","Ranunculaceae","Actaea rubra","Actaea","rubra","Willd.",,,,,,,"Ben Legler",5.00,"Oct",2006.00,"FNA Vol. 3",,"Tricia Downey",,5.00,,,28.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. Along Purple Creek Pass Trail where it crosses Purple Creek. Circa 1.5 trail miles east of Stehekin.",2600.00,,793.00,,48.00,18.00,46.00,120.00,37.00,50.00,"WGS 84",19.00,"GPS Reading",10.00,675668.00,5353790.00,"WGS 84",19.00,"GPS Reading","Moist stream gully dominated by Acer macrophyllum, Cornus sericea, Rubus parviflora.","Stems to 1 meter tall; leaves 3-4 times compound. Uncommon.","Native","Fruiting",,"{695A4380-7CC2-469A-B78D-4A43073B4976}",675667.99,5353789.99,"NAD83","OK","Natalya Antonova"
25,1.00,"NOCA","NOCA-00832","NOCA 31096","2006 North Cascades National Park Foray","Asteraceae","Adenocaulon bicolor","Adenocaulon","bicolor","Hook.",,,,,,,"Ben Legler",31.00,"Aug",2006.00,"FNA",,"Dale Blum","06-",29.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Common along forest edge where cleared.","Native","Flowering & Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
26,2.00,"Stehekin","NOCA-00832","NOCA 31097","2006 North Cascades National Park Foray","Asteraceae","Adenocaulon bicolor","Adenocaulon","bicolor","Hook.",,,,,,,"Ben Legler",31.00,"Aug",2006.00,"FNA",,"Dale Blum","06-",29.00,,,27.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreational Area. Stehekin State Airstrip. ",1196.00,,364.00,,48.34,,,120.71,,,"WGS 83",5.00,"GPS Reading",10.00,669049.26,5356975.23,"WGS 83",5.00,"Calc. from Lat-Lon","Flat mowed area approximately 3,000 feet long by 300 feet wide. Public airstrip cut out of valley floor forest. Abies grandis, Alnus rubra, Acer macrophylla, Pseudotsuga menziesii dominate forest edge. Airstrip dominated by non-native grasses.","Common along forest edge where cleared.","Native","Flowering & Fruiting",,"{190DD78D-4938-4DD2-9568-98DE00A37EB6}",669049.26,5356975.23,"NAD83","OK","Natalya Antonova"
