"Replicate.","Destination Herbarium","NPS Accession Number","NPS Catalog Number","WTU Database ID","WTU Accession Number","Family","Scientific Name","Genus","Species","Author","Subspecific Rank","Subspecific taxon","Subspecific Author","Determiner","Determination Day","Determination Month","Determination Year","Determination Source","Determination Notes","Collector Name","Collector Number Prefix","Collector Number","Collector Number Suffix","Associated Collector","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Elevation (m)","Dec Latitude","W or E","Dec Longitude","N or S","Source","Lat-Long Datum","UTM Zone","Easting","Northing","Source_UTM","Site description","Specimen Details","Origin","Phenology","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
1.00,"NOCA","NOCA-00840",17873.00,163933.00,,"Asteraceae","Antennaria rosea ssp. pulvinata","Antennaria","rosea","Greene","ssp.","pulvinata","(Greene) Bayer","David Giblin",28.00,"Aug",2007.00,"FNA",,"Dale Blum","07-","05",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon. Forms rhizomatous clumps. Pink-rosy bracts. Dry areas.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17874.00,163933.00,,"Asteraceae","Antennaria rosea ssp. pulvinata","Antennaria","rosea","Greene","ssp.","pulvinata","(Greene) Bayer","David Giblin",28.00,"Aug",2007.00,"FNA",,"Dale Blum","07-","05",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon. Forms rhizomatous clumps. Pink-rosy bracts. Dry areas.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17875.00,163933.00,,"Asteraceae","Antennaria rosea ssp. pulvinata","Antennaria","rosea","Greene","ssp.","pulvinata","(Greene) Bayer","David Giblin",28.00,"Aug",2007.00,"FNA",,"Dale Blum","07-","05",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon. Forms rhizomatous clumps. Pink-rosy bracts. Dry areas.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17876.00,163934.00,,"Scrophulariaceae","Castilleja miniata var. miniata","Castilleja","miniata","Dougl. ex. Hook.","var.","miniata",,"M. Egger",,,2007.00,"H&C","Atypical leaves","Dale Blum","07-","06",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Uncommon on steep rock faces. Burnt orange colored flowers.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17877.00,163935.00,,"Apiaceae","Lomatium martindalei var. angustatum","Lomatium","martindalei","Coult. & Rose","var.","angustatum","Coult. & Rose","David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","09",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Prostrate on loose soil and gravel. Uncommon. Full sun. Flowers creamy yellow. Leaves lay flat.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17878.00,163935.00,,"Apiaceae","Lomatium martindalei var. angustatum","Lomatium","martindalei","Coult. & Rose","var.","angustatum","Coult. & Rose","David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","09",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Prostrate on loose soil and gravel. Uncommon. Full sun. Flowers creamy yellow. Leaves lay flat.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17879.00,163935.00,,"Apiaceae","Lomatium martindalei var. angustatum","Lomatium","martindalei","Coult. & Rose","var.","angustatum","Coult. & Rose","David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","09",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Prostrate on loose soil and gravel. Uncommon. Full sun. Flowers creamy yellow. Leaves lay flat.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17880.00,163937.00,,"Polemoniaceae","Phlox diffusa","Phlox","diffusa","Benth.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","10",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Large clumps hugging the ground. Common. Flowers pink-purple-white.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17881.00,163937.00,,"Polemoniaceae","Phlox diffusa","Phlox","diffusa","Benth.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","10",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Large clumps hugging the ground. Common. Flowers pink-purple-white.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17882.00,163937.00,,"Polemoniaceae","Phlox diffusa","Phlox","diffusa","Benth.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","10",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Large clumps hugging the ground. Common. Flowers pink-purple-white.","Native","Flowering & Fruiting","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17883.00,163938.00,,"Valerianaceae","Valeriana sitchensis","Valeriana","sitchensis","Bong.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","12",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Common in lush herbaceous meadows. full sun. Flowers white.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17884.00,163938.00,,"Valerianaceae","Valeriana sitchensis","Valeriana","sitchensis","Bong.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","12",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Common in lush herbaceous meadows. full sun. Flowers white.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
3.00,"UBC","NOCA-00840",17885.00,163938.00,,"Valerianaceae","Valeriana sitchensis","Valeriana","sitchensis","Bong.",,,,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","12",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Common in lush herbaceous meadows. full sun. Flowers white.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
1.00,"NOCA","NOCA-00840",17886.00,163939.00,,"Scrophulariaceae","Pedicularis racemosa var. racemosa","Pedicularis","racemosa","Dougl.","var.","racemosa",,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","13",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Abundant in deeper soils and under tree clumps. Flowers pink to white.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
2.00,"WTU","NOCA-00840",17887.00,163939.00,,"Scrophulariaceae","Pedicularis racemosa var. racemosa","Pedicularis","racemosa","Dougl.","var.","racemosa",,"David Giblin",28.00,"Aug",2007.00,"H&C",,"Dale Blum","07-","13",,"Megan A. Jensen, Steve Hahn, Steve Walker, Jesse Sorrells, Tim Rodgers",3.00,"Aug",2007.00,"USA","Washington","Whatcom","North Cascades National Park. Copper Ridge. Approximately 1/4 mile south of the Copper Ridge Lookout. (Peak 6260).",5656.00,1724.00,48.90,"W",-121.46,"N","GPS reading","NAD 83",10.00,612442.04,5417815.05,"Conversion algorithm","Subalpine, rocky bald with patches of lush herbaceous meadows scattered throughout. Soil is erosive and loose with areas of litter accumulation. Overall area is dry. Aspect 230 degrees. Slope 28 degrees.","Abundant in deeper soils and under tree clumps. Flowers pink to white.","Native","Flowering","{A20D75C9-0E8D-448C-BAB8-22A21E3B9884}",612442.03,5417815.34,"NAD83","OK","Natalya Antonova"
