Replicate#	Destination Herbarium	NPS Accession Number	NPS Catalog Number	WTU Database ID	WTU Accession Number	Family	Scientific Name	Genus	Species	Author	Subspecific Rank	Subspecific taxon	Subspecific Author	Determiner	Determination Day	Determination Month	Determination Year	Determination Source	Collector Name	Collector Number Prefix	Collector Number	Collector Number Suffix	Associated Collector	Collection Day	Collection Month	Collection Year	Country	State	County	Locality	Elevation (ft.)	Elevation (m)	Dec. Latitude	N or S	Decimal Long.	W or E	Lat-Long Datum	Accuracy (m)	UTM Zone	Easting	Northing	Datum	UTM Source	Site description	Specimen Details	Origin	Phenology	
1	MORA	MORA-523	17207	164133		Poaceae	Poa secunda ssp. secunda	Poa	secunda	Presl.	ssp.	secunda		David Giblin	10	Sep	2007	FNA	David Giblin		1137		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Growing in crevices of rock face.	Native	Flowering	
2	WTU	MORA-523	17208	164133		Poaceae	Poa secunda ssp. secunda	Poa	secunda	Presl.	ssp.	secunda		David Giblin	10	Sep	2007	FNA	David Giblin		1137		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Growing in crevices of rock face.	Native	Flowering	
3	UBC	MORA-523	17209	164133		Poaceae	Poa secunda ssp. secunda	Poa	secunda	Presl.	ssp.	secunda		David Giblin	10	Sep	2007	FNA	David Giblin		1137		"Jessica Waite, Vicky Weafer"	14	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Huckleberry Basin.	6396	1950	46.92092	N	-121.65089	W	WGS 84	9	10	602717	5197260	WGS 84	Conversion algorithm	"Steep, north-facing talus slope below steep rock face. Luetkea pectinata common."	Growing in crevices of rock face.	Native	Flowering	
1	MORA	MORA-523	17210	164134		Polygonaceae	Eriogonum umbellatum var. majus	Eriogonum	umbellatum	Torr.	var.	majus	Hook.	David Giblin	10	Sep	2007	FNA	Megan A. Jensen		354		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Corollas whitish pink. Uncommon on rocky outcrop.	Native	Flowering	
2	WTU	MORA-523	17211	164134		Polygonaceae	Eriogonum umbellatum var. majus	Eriogonum	umbellatum	Torr.	var.	majus	Hook.	David Giblin	10	Sep	2007	FNA	Megan A. Jensen		354		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Corollas whitish pink. Uncommon on rocky outcrop.	Native	Flowering	
3	UBC	MORA-523	17212	164134		Polygonaceae	Eriogonum umbellatum var. majus	Eriogonum	umbellatum	Torr.	var.	majus	Hook.	David Giblin	10	Sep	2007	FNA	Megan A. Jensen		354		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Corollas whitish pink. Uncommon on rocky outcrop.	Native	Flowering	
1	MORA	MORA-523	17213	164135		Scrophulariaceae	Penstemon davidsonii var. menziesii	Penstemon	davidsonii	Greene	var.	menziesii	(Keck) Cronq.	David Giblin	10	Sep	2007	H&C	Megan A. Jensen		355		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Scattered on rocly outcrop.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17214	164135		Scrophulariaceae	Penstemon davidsonii var. menziesii	Penstemon	davidsonii	Greene	var.	menziesii	(Keck) Cronq.	David Giblin	10	Sep	2007	H&C	Megan A. Jensen		355		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Scattered on rocly outcrop.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17215	164136		Cupressaceae	Chamaecyparis nootkatensis	Chamaecyparis	nootkatensis	(D. Don.) Spach				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		356		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Scattered on hillside; to 10 meters.	Native	Cones	
2	WTU	MORA-523	17216	164136		Cupressaceae	Chamaecyparis nootkatensis	Chamaecyparis	nootkatensis	(D. Don.) Spach				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		356		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Scattered on hillside; to 10 meters.	Native	Cones	
3	UBC	MORA-523	17217	164136		Cupressaceae	Chamaecyparis nootkatensis	Chamaecyparis	nootkatensis	(D. Don.) Spach				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		356		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Scattered on hillside; to 10 meters.	Native	Cones	
1	MORA	MORA-523	17218	164137		Apiaceae	Lomatium martindalei var. angustatum	Lomatium	martindalei	Coult. & Rose	var.	angustatum	Coult. & Rose	David Giblin	10	Sep	2007	H&C	Megan A. Jensen		357		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common on talus slope.	Native	Fruiting	
2	WTU	MORA-523	17219	164137		Apiaceae	Lomatium martindalei var. angustatum	Lomatium	martindalei	Coult. & Rose	var.	angustatum	Coult. & Rose	David Giblin	10	Sep	2007	H&C	Megan A. Jensen		357		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common on talus slope.	Native	Fruiting	
3	UBC	MORA-523	17220	164137		Apiaceae	Lomatium martindalei var. angustatum	Lomatium	martindalei	Coult. & Rose	var.	angustatum	Coult. & Rose	David Giblin	10	Sep	2007	H&C	Megan A. Jensen		357		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common on talus slope.	Native	Fruiting	
1	MORA	MORA-523	17221	164138		Apiaceae	Ligusticum grayi	Ligusticum	grayi	Coult. & Rose				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		358		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17222	164138		Apiaceae	Ligusticum grayi	Ligusticum	grayi	Coult. & Rose				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		358		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17223	164138		Apiaceae	Ligusticum grayi	Ligusticum	grayi	Coult. & Rose				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		358		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17224	164139		Asteraceae	Arnica parryi	Arnica	parryi	Gray				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		359		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17225	164139		Asteraceae	Arnica parryi	Arnica	parryi	Gray				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		359		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17226	164139		Asteraceae	Arnica parryi	Arnica	parryi	Gray				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		359		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17227	164140		Ranunculaceae	Aquilegia formosa var. formosa	Aquilegia	formosa	Fisch. ex DC.	var.	formosa		David Giblin	10	Sep	2007	FNA	Megan A. Jensen		360		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Uncommon in open areas.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17228	164141		Asteraceae	Rainiera stricta	Rainiera	stricta	(Greene) Greene				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		361		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common; yellow florets.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17229	164141		Asteraceae	Rainiera stricta	Rainiera	stricta	(Greene) Greene				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		361		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common; yellow florets.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17230	164141		Asteraceae	Rainiera stricta	Rainiera	stricta	(Greene) Greene				David Giblin	10	Sep	2007	FNA	Megan A. Jensen		361		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common; yellow florets.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17231	164142		Apiaceae	Osmorhiza chilensis	Osmorhiza	chilensis	H. & A.				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		362		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common in cedar understory.	Native	Fruiting	
2	WTU	MORA-523	17232	164142		Apiaceae	Osmorhiza chilensis	Osmorhiza	chilensis	H. & A.				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		362		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common in cedar understory.	Native	Fruiting	
3	UBC	MORA-523	17233	164142		Apiaceae	Osmorhiza chilensis	Osmorhiza	chilensis	H. & A.				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		362		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common in cedar understory.	Native	Fruiting	
1	MORA	MORA-523	17234	164143		Boraginaceae	Mertensia paniculata	Mertensia	paniculata	(Ait.) G. Don				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		363		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common in cedar understory.	Native	Flowering & Fruiting	
2	WTU	MORA-523	17235	164143		Boraginaceae	Mertensia paniculata	Mertensia	paniculata	(Ait.) G. Don				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		363		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common in cedar understory.	Native	Flowering & Fruiting	
3	UBC	MORA-523	17236	164143		Boraginaceae	Mertensia paniculata	Mertensia	paniculata	(Ait.) G. Don				David Giblin	10	Sep	2007	H&C	Megan A. Jensen		363		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Common in cedar understory.	Native	Flowering & Fruiting	
1	MORA	MORA-523	17237	164144		Poaceae	Elymus elymoides ssp. brevifolius	Elymus	elymoides		ssp.	brevifolius	(J.G. Sm.) Barkworth	David Giblin	10	Sep	2007	FNA	Megan A. Jensen		364		"Vicky Weafer, Richard Ramsden, David Giblin, Dan Paquette"	13	Aug	2007	USA	Washington	Pierce	Mount Rainier National Park. Crystal Lakes area. About 0.75 kilometer from junction with Pacific Crest trail.	6330	1930	46.90455	N	-121.50097	W	WGS 84	7	10	614167	5195648	WGS 84	Conversion algorithm	South-facing slope with some talus.	Scattered on rocks.	Native	Flowering & Fruiting	
