geometry,Bed Name,Location,Survey Date,Acres,Miles,County,Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW),CORRECTED DEPTH: Edge farthest from shore (m MLLW),Total Bulbs/Meter-Squared,Water Temp (C ),Weather,Tide Ht Start (ft),Tide Station,Observations,Additional Observations,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,SurveyID,Tidal Ht (m)
Geocortex.Gis.Geometries.Polygon,Ben Ure Island,Ben Ure Island,"Sept 18, 2017",1.51634908387906,0.741436877859721,Island,,10:10 AM,-0.2135,5.8865,,11,Clouds,0.7,Cornet Bay 9447995,"Health/Morphology: blade at south SE end had a rust colored furry algae; at north end had some white deposite on blades as seen last year. Bulbs/blades/stipes at the surface. Field of kelp seemed similar to what I saw last year as well as in August this year. Density/orientation: Density appeared to be very similar to what is was like in early August. Started track at end of ebb stage and a few minutes after track completed the blades were re-oriented in opposite direction. Water: Extremely calm, dead calm. Some white film on water surface at NE end. Water is quite turbid. Human impacts: Several crab pots were set up with buoys/floats at the NW end of Ben Uhre as well as a few SE of kelp field. A couple was launching a row boat at SE end when I was tracking. Greetings were exchanged; they said nothing unusual/noteworthy was experienced. Birds/fish/mammals: 1 harbor seal near boat launch swimming SE; 2-3 herons, 2 pigeon guillemots, 1 harbor seal north end of island, 1 kingfisher on island, north end. Herons were at waterline facing kelp field. Inter/subtidal organisms: orange sea cucumbers visible near or below waterline in several locations around island.","Very little boating activity today, allowing for a very consisten uninterrupted track/paddle speed. Ten minute paddle one way between Ben Uhr and Boat Launch/parking lot. Very unusual dead calm water and little wave action.","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-LZdK4Dh/0/4f483451/X3/BenUre_18Sept2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-5hX9xgW/0/8fa403f3/X3/BenUre_18Sept2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-RsD2HTg/0/4dd3af2b/X3/BenUre_18Sept2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-psHxx8r/0/ef8a7d00/X3/BenUre_18Sept2017_BeR-X3.jpg
",Ben_Ure_Island_18Sept17,
Geocortex.Gis.Geometries.Polygon,Reef Island,Reef Island,"Aug 18, 2017",0.910027659576433,0.503428592570716,San Juan,10:29 AM,10:50 AM,1.4518,8.4668,,14,,-1.76,Shaw Island,"Kelp frayed, barnacles, rockweed, ulva on intertidal rocks, understory kelps plus sargassum, one pisaster, one red rock crab","2 great blue herons, 2 marbled murrelets","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-p8zTmvp/0/60b93ca9/X3/reefisland_18August2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-8zfKVK6/0/f633651e/X3/reefisland_18August2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Gd9nmqW/0/2bfbb24c/X3/reefisland_18August2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-zF8Bttn/0/4d66bf48/X3/reefisland_18August2017_BeR-X3.jpg
",Reef_Island_18Aug17,
Geocortex.Gis.Geometries.Polygon,Reef Island,Reef Island,"July 21, 2017",0.967186685934887,0.52189110233531,San Juan,07:33 AM,,1.5128,8.3753,,0,Clouds,-0.46,Orcas/Navionics,"numerous orange sea cucumbers, lots of epiphytes, white spots, ends shredded but overall looks healthy, ulva, rockweed, barnacles on rocks, large understory kelps, some eelgrass (south end), small amount of sargassum","skiff, person on shore with crab pots out, two marbled murrelets","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-99kpRrJ/0/daeab508/M/reefisland_21July2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-rqDtp4L/0/25e2f169/M/reefisland_21July2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-TK2W6JP/0/a31c2cc7/M/reefisland_21July2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-93PjjD2/0/1e3d602f/M/reefisland_21July2017_BeR-M.jpg
",Reef_Island_21July17,
Geocortex.Gis.Geometries.Polygon,Reef Island,Reef Island,"Sept 17, 2017",1.2088374749318,0.50212701712626,San Juan,07:50 AM,08:13 AM,0.3782,6.5392,,12,Clouds,0.56,Orcas,"epiphytes on kelp and white spots, really two kelp beds, area in middle no kelp seen, different than previous surveys at lower tides. Intertidal, rockweed, ulva, barnacles, understory sargassum plus several larger blade kelps",belted kingfisher,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-B9LJksw/0/28ad4ff4/X3/ReefIsland_17Sept2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Cqc8DvH/0/a1c03983/X3/ReefIsland_17Sept2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-MFMRTFD/0/ea268486/X3/ReefIsland_17Sept2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Dg8dVNk/0/bfc5ccac/X3/ReefIsland_17Sept2017_BeR-X3.jpg
",Reef_Island_17Sept17,
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"July 25, 2017",0.43279738871154,0.23834279830235,Skagit,12:07 PM,12:34 PM,1.769,4.209,,11,Clear,-1.8,South Allan Island,"This is a longish, gernally narrow kelp bed that is up against rocky shore at this tide, -2.1 at 11:13am. The kelp looked quite healthy","We launched at 11:37 amd explored this bed and a smuch larger bed farther south. There was substantial floor, even though slash between Allan and Burrows Islands was predicted or 12:18p.","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-n98KQcN/0/ba6e52e7/M/BizPt_25July2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-CnkmgMk/0/9e93c420/M/BizPt_25July2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-TQ9WthN/0/5f202960/M/BizPt_25July2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-QWv8cMH/0/4bfedbc5/M/BizPt_25July2017_BeR-M.jpg
",Biz_Point_25July17,
Geocortex.Gis.Geometries.Polygon,Camano Is. SP-Lowell,Camano Is. SP-Lowell,"July 26, 2017",3.88043209386934,0.477031112985996,Island,12:16 PM,,3.0988,8.5888,,14,,-1.16,Greenbank 9447883,"membranipora on kelp very small, one floater had a medium sized colony, surface kelp sparse",,0,0,0,0,Camano_Is_SPLowell_26Jul17,
Geocortex.Gis.Geometries.Polygon,Camano Is. SP-Lowell,Camano Is. SP-Lowell,"Aug 23, 2017",13.8826243602848,1.08962047603248,Island,11:15 AM,12:45 PM,2.135,3.477,,0,,0,Greenbank 9447883,,,0,0,0,0,Camano_Is_SPLowell_23Aug17,
Geocortex.Gis.Geometries.Polygon,Cherry Pt-Gulf Rd,Cherry Point,"Aug 8, 2017",24.2936488382604,1.6581321238731,Whatcom,10:40 AM,11:35 AM,-1.22,1.83,,14,Clouds,7.5,Cherry Point,"2 inch fish within kelp bed, crab, and seal pups",completed track at 11:35am,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-vWSnfrD/0/e6e7b5d6/M/CherryPt_8August2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-X9MPc7h/0/8cffe1fe/M/CherryPt_8August2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-xm6SXNC/0/d4fa635e/M/CherryPt_8August2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-4czcVKw/0/3e2ebd9e/M/CherryPt_8August2017_BeR-M.jpg
",Cherry_PtGulf_Rd_08Aug17,
Geocortex.Gis.Geometries.Polygon,Cherry Pt-Gulf Rd,Cherry Point,"Sept 4, 2017",29.3783949945657,2.09623679705194,Whatcom,,,,,,,,,,,,,,,,Cherry_PtGulf_Rd_04Sept17,
Geocortex.Gis.Geometries.Polygon,Clallam Bay,Clallam Bay,"July 9, 2017",23.0974985433367,1.18289831662359,Clallam,09:25 AM,10:20 AM,2.05875,4.3615,,13,Clouds,-0.5,"9443361 Seiku, Clallam Bay, WA","bull kelp dense and reaching 99% at west end of bed. Middle of bed 50-90% macrocystis. Beach side had higher variaet of algae species including boa, bull, macrocystis and surf grass. Bald eagles, gulls and other sea birds present",bed may extend west past marina and terminate around back side of marine rock armoring,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-NDHn6ND/0/c1d8a6cc/4K/ClallamBayWest_9July2017_ToBe-4K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-2SWWdTd/0/fb3c1815/L/ClallamBayWest_9July2017_ToWa-L.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-LGHjtGk/0/c14ef38e/4K/ClallamBayWest_9July2017_BeL-4K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-kWk6jRz/0/fda64e18/L/ClallamBayWest_9July2017_BeR-L.jpg
",Clallam_Bay_09July17,
Geocortex.Gis.Geometries.Polygon,Clallam Bay,Clallam Bay,"July 23, 2017",25.1310507720006,1.2648800454924,Clallam,09:15 AM,10:55 AM,1.8605,,,12,Clouds,-1.2,"Seiku, Clallam Bay","large macrocystis bed in center of bull kelp bed randing from 10-90% of kelp in center of bed. Other species, surf grass, eisenia, feather boa, alaria, ulva. Bull kelp appears healthy and protecting other kelp species. Many marine birds present",also completed gps track of center macrocystis bed. Unable to get depth and secchi disk reading on outside of bed due to current and drift,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-wfQh6Lk/0/7980bf0c/X5/ClallamBayWest_23July2017_ToBe-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-8JNjVv5/0/24e44eb0/X5/ClallamBayWest_23July2017_ToWa-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-9rXRL4r/0/def18575/X5/ClallamBayWest_23July2017_BeL-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-2DZbBsw/0/1c54cc5f/X5/ClallamBayWest_23July2017_BeR-X5.jpg
",Clallam_Bay_23July17,
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"Aug 6, 2017",1.28163470768778,0.189659691456496,Skagit,08:38 AM,08:48 AM,7.2895,7.8995,,12,Fog/mist,0.1,Bowman bay,All bulbs are at the surface. Begininng to accumulate epiphytic growth on larger bulbs,"1 harbor seal, many gulls, 3 oyster catchers, forage fish at surface, lots of jellies, lots of crab pots in bay",1,1,1,1,Coffin_Rocks_06Aug17,
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"July 20, 2017",0.988753588715004,0.166728232857629,Skagit,08:24 AM,08:43 AM,14.77725,19.35225,,12,Clouds,-1.45,Deception Bass S.P. Bowman Bay,"Moon Jellies, much of kelp bed thin density much lower than 9 and 9 2016. Flat, calm. Places on the east and west site where kelp bed wen tright to the rocky outcropping",,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-wsPSzp5/0/a4805614/M/CoffinRx_20July2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-S6PBMKS/0/59efd34a/M/CoffinRx_20July2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-TTpkBHH/0/b66395df/M/CoffinRx_20July2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-RbxPB56/0/45dbe317/M/CoffinRx_20July2017_BeR-M.jpg
",Coffin_Rocks_20July17,
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"July 23, 2017",1.17409911038496,0.180460158715364,Skagit,08:52 AM,09:17 AM,5.978,12.993,,12,Clouds,-1.6,Bowman Bay,"all kelp healthy and growing. Some bulbs still below the surface. Observed: forage fis, oyster catchers, harbor seals, 2 harbor porpoises",,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-dczBZsx/0/6ed0418f/X5/CoffinRx_23July2017_ToBe-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-c2ZQLz2/0/04ef3b4f/X5/CoffinRx_23July2017_ToWa-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Z927bN8/0/c9c4d239/X5/CoffinRx_23July2017_BeL-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-5d42R8m/0/a11957e9/X5/CoffinRx_23July2017_BeR-X5.jpg
",Coffin_Rocks_23July17,
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"Sept 16, 2017",21.5373060267078,0.969489605993074,Island,07:50 AM,08:59 AM,1.0675,7.32,,11,,0,"Admiralty Head, 9447905","1 sea lion cruising outer perimeter of bed 1 Western grebe diving just outside of bed 1 great blue heron fishing on kelp 6 Heerman gulls resting on kelp 4 common loon (1 male, 1 female, 2 juveniles) fishing outside of bed No forage fish schools observed in bed; scattered small shiner perch within bed < 5 fried egg jellies (up to 15 cm diameter) All parts of kelp (submerged & exposed) covered with bryozoan colonies",Zoe's notes: no photos for this survey. Survey sheet different from normal one.,0,0,0,0,Ebeys_Landing_16Sept17,
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"Aug 23, 2017",20.9484994133166,0.952084681460154,Island,10:20 AM,12:40 PM,1.3725,7.625,,13,,0,Admiralty Head 9447905,"three great blue herons on kelp fishing, six heermans gulls, about 24 tubesnout hanging out on leeside of kelp, many herring schools feeding and resting (~25mm in length), numerous medium to large (6-10cm) shiner perch schools feeding",,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-ptrB2zX/0/fb3908a0/Th/Ebey_23August2017_ToBe-Th.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-qDLCh3g/0/c71e65f7/Th/Ebey_23August2017_ToWa-Th.jpg
",1,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-L45qrcs/0/8c907908/Th/Ebey_23August2017_BeR-Th.jpg
",Ebeys_Landing_23Aug17,
