"Cat .","Acc .","Family","Scientific Name","Common Name","Collector","Collect .","Coll Date","National Park Service","Ident By","Ident Date","Locality","Park Name","County","State","UTM Z/E/N","Elevation M","Habitat","Slope","Aspect","Substrate","Assoc Spec","Park Code","UTM_Y","UTM_X","Last_Edited","Who_Edited","Comment","ITIS_Name"
"SAJH  230006","SAJH-00081","Asteraceae","Achillea millefolium (L.) var. lanulosa","common yarrow","Steve Hahn","93",6/5/2001 0:00:00,,"Steve Hahn",6/5/2001 0:00:00,"American Camp: east side of Old Towne Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500075/5368105",1,"Among driftwood and grass above the high tide line",2,33,"mineral soil","Festuca rubra var. littoralis/Lathyrus japonicus/Holcus lanatus","SAJH",5368105,500075,,"",,"Achillea millefolium var. occidentalis"
"SAJH  230007","SAJH-00081","Asteraceae","Achillea millefolium (L.) var. lanulosa","common yarrow","Steve Hahn","356",6/5/2001 0:00:00,,"Steve Hahn",6/5/2001 0:00:00,"American Camp: east side of Old Towne Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500075/5368105",1,"Among driftwood and grass above the high tide line",2,33,"mineral soil","Festuca rubra var. littoralis/Lathyrus japonicus/Holcus lanatus","SAJH",5368105,500075,,"",,"Achillea millefolium var. occidentalis"
"SAJH  230008","SAJH-00081","Asteraceae","Adenocaulon bicolor (Hook.)","pathfinder","Teresa DeKoker","300",6/13/2001 0:00:00,,"Teresa DeKoker",6/13/2001 0:00:00,"English Camp: Young Hill trail-- approx. 100m up from the West Valley Rd","San Juan Island National Historical Park","SAN JUAN","WA","10/489540/5381370",76,"Coniferous forest dominated by PSEMEN and ARBMEN-- closed canopy",20,248,"mineral soil","Pseudotsuga menziesii/Arbutus menziesii","SAJH",5381370,489540,,"",,"Adenocaulon bicolor"
"SAJH  230009","SAJH-00081","Asteraceae","Adenocaulon bicolor (Hook.)","pathfinder","Steve Hahn","407",6/13/2001 0:00:00,,"Steve Hahn",6/13/2001 0:00:00,"English Camp: Young Hill trail-- approx. 100m up from the West Valley Rd","San Juan Island National Historical Park","SAN JUAN","WA","10/489540/5381370",76,"Coniferous forest dominated by PSEMEN and ARBMEN-- closed canopy",20,248,"mineral soil","Pseudotsuga menziesii/Arbutus menziesii","SAJH",5381370,489540,,"",,"Adenocaulon bicolor"
"SAJH  230010","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Steve Hahn","229",7/16/2001 0:00:00,,"Teresa DeKoker",7/17/2001 0:00:00,"American Camp: northwest corner of the park","San Juan Island National Historical Park","SAN JUAN","WA","10/497949/5368451",44,"Growing along the transition between upland and wetland-- full sun",1,142,"mineral soil","Agrostis sp./Holcus lanatus/Poa palustris","SAJH",5368451,497949,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Elymus repens"
"SAJH  230011","SAJH-00081","Poaceae","Elymus trachycaulus ssp. trachycaulus (Vasey) C.L. Hitchc.","slender wheatgrass","Teresa DeKoker","87",6/23/2001 0:00:00,,"Steve Hahn",6/24/2001 0:00:00,"English Camp: along the shore of Garrison Bay","San Juan Island National Historical Park","SAN JUAN","WA","10/488407/5381986",0,"On forest edge-- above the beach",0,300,"sand","Holodiscus discolor/Rubus ursinus/Pseudotsuga menziesii/Rosa nutkana","SAJH",5381986,488407,,"",,"Elymus trachycaulus ssp. trachycaulus"
"SAJH  230012","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Steve Hahn","153",6/21/2001 0:00:00,,"Steve Hahn",6/21/2001 0:00:00,"American Camp: along the South Beach road","San Juan Island National Historical Park","SAN JUAN","WA","10/499540/5367110",5,"Disturbed edge of road-- compacted gravel/soil",0,182,"gravel","Poa pratensis/Bromus sp./Phalaris arundinaceae/Circium arvense","SAJH",5367110,499540,,"",,"Elymus repens"
"SAJH  230013","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Teresa DeKoker","36",6/14/2001 0:00:00,,"Steve Hahn",6/15/2001 0:00:00,"American Camp: meadow","San Juan Island National Historical Park","SAN JUAN","WA","10/498403/5367721",52,"Grass dominated prairie",1,150,"mineral soil","Poa pratensis/Urtica dioica","SAJH",5367721,498403,,"",,"Elymus repens"
"SAJH  230014","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Steve Hahn","361",6/14/2001 0:00:00,,"Steve Hahn",6/15/2001 0:00:00,"American Camp: meadow","San Juan Island National Historical Park","SAN JUAN","WA","10/498403/5367721",52,"Grass dominated prairie",1,150,"mineral soil","Poa pratensis/Urtica dioica","SAJH",5367721,498403,,"",,"Elymus repens"
"SAJH  230015","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Steve Hahn","402",6/21/2001 0:00:00,,"Steve Hahn",6/21/2001 0:00:00,"American Camp: along the South Beach road","San Juan Island National Historical Park","SAN JUAN","WA","10/499540/5367110",5,"Disturbed edge of road-- compacted gravel/soil",0,182,"gravel","Poa pratensis/Bromus sp./Phalaris arundinaceae/Circium arvense","SAJH",5367110,499540,,"",,"Elymus repens"
"SAJH  230016","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Teresa DeKoker","83",6/22/2001 0:00:00,,"Steve Hahn",6/23/2001 0:00:00,"American Camp: Jakle's Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500913/5367592",0,"Growing between the lagoon and the intertidal zone-- full sun",1,350,"rocky/mineral soil","Puccinellia sp./Salicornia virginica","SAJH",5367592,500913,,"",,"Elymus repens"
"SAJH  230017","SAJH-00081","Poaceae","Elymus repens (L.) Gould","quackgrass","Steve Hahn","397",6/22/2001 0:00:00,,"Steve Hahn",6/23/2001 0:00:00,"American Camp: Jakle's Lagoon","San Juan Island National Historical Park","SAN JUAN","WA","10/500913/5367592",0,"Growing between the lagoon and the intertidal zone-- full sun",1,350,"rocky/mineral soil","Puccinellia sp./Salicornia virginica","SAJH",5367592,500913,,"",,"Elymus repens"
"SAJH  230018","SAJH-00081","Poaceae","Agrostis stolonifera L.","redtop","Steve Hahn","205",7/2/2001 0:00:00,,"Steve Hahn",7/2/2001 0:00:00,"American Camp: prairie above Cattle Point Road just before the eastern boundary","San Juan Island National Historical Park","SAN JUAN","WA","10/501905/5366840",46,"Meadow dominated by non-native rhizomatous grasses-- full sun",18,203,"mineral soil","Holcus lanatus/Poa pratensis/Hypochaeris radicata","SAJH",5366840,501905,,"",,"Agrostis stolonifera"
"SAJH  230019","SAJH-00081","Poaceae","Agrostis exarata var. exarata Trin.","spike bentgrass","Steve Hahn","264",8/3/2001 0:00:00,,"Steve Hahn",9/18/2001 0:00:00,"American Camp: small pond above Third Lagoon-- at the trail junction","San Juan Island National Historical Park","SAN JUAN","WA","10/501574/5367473",18,"Emergent wetland--no water at this date-- partial sun",0,0,"mineral soil","Glyceria borealis/Callitriche heterophylla/Oenothera sarmentosa","SAJH",5367473,501574,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Agrostis exarata var. exarata"
"SAJH  230020","SAJH-00081","Poaceae","Agrostis exarata var. exarata Trin.","spike bentgrass","Steve Hahn","421",8/3/2001 0:00:00,,"Steve Hahn",9/18/2001 0:00:00,"American Camp: small pond above Third Lagoon--G45 at the trail junction","San Juan Island National Historical Park","SAN JUAN","WA","10/501574/5367473",18,"Emergent wetland--no water at this date-- partial sun",0,0,"mineral soil","Glyceria borealis/Callitriche heterophylla/Oenothera sarmentosa","SAJH",5367473,501574,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Agrostis exarata var. exarata"
"SAJH  230021","SAJH-00081","Poaceae","Agrostis capillaris L.","colonial bentgrass","Teresa DeKoker","127",7/10/2001 0:00:00,,"Steve Hahn",7/11/2001 0:00:00,"American Camp: along the western boundary above Eagle Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/497892/5367665",40,"Prairie dominated by adventive grasses and forbs-- full sun",1,200,"mineral soil","Pteridium aqualinum/Rubus ursinus/Holcus lanatus/Festuca sp","SAJH",5367665,497892,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Agrostis capillaris"
"SAJH  230022","SAJH-00081","Poaceae","Agrostis capillaris L.","colonial bentgrass","Teresa DeKoker","129",7/10/2001 0:00:00,,"Steve Hahn",7/11/2001 0:00:00,"American Camp: prairie south of  the Visitors Center","San Juan Island National Historical Park","SAN JUAN","WA","10/498338/5367701",43,"Prairie dominated by adventive grasses and forbs-- full sun",5,200,"mineral soil","Holcus lanatus/Rubus ursinus/Poa pratensis","SAJH",5367701,498338,,"",,"Agrostis capillaris"
"SAJH  230023","SAJH-00081","Poaceae","Agrostis capillaris L.","colonial bentgrass","Steve Hahn","210",7/9/2001 0:00:00,,"Steve Hahn",7/10/2001 0:00:00,"American Camp: Finlayson Ridge Trail-- 1/4 mile east of the summit","San Juan Island National Historical Park","SAN JUAN","WA","10/501563/5367073",76,"Meadow dominated by adventive species-- full sun-- and exposure to the Straits",6,221,"mineral soil","Holcus lanatus/Vulpia sp./Hypochaeris racicata","SAJH",5367073,501563,,"",,"Agrostis capillaris"
"SAJH  230024","SAJH-00081","Poaceae","Aira caryophyllea L.","silver hairgrass","Steve Hahn","29",5/24/2001 0:00:00,,"Steve Hahn",5/24/2001 0:00:00,"American Camp: east of Pickett's Lane-- approx. 75m into the prairie","San Juan Island National Historical Park","SAN JUAN","WA","10/499930/5367540",32,"Heavily disturbed rabbit colony-- vegetation is cropped shorter that the surrounding prairie-- full sun",3,217,"gravel","Erodium cicutarium/Bromus sp./Vicia hirsuta/Circium arvense","SAJH",5367540,499930,,"",,"Aira caryophyllea"
"SAJH  230025","SAJH-00081","Poaceae","Aira praecox L.","yellow hairgrass","Steve Hahn","127",6/13/2001 0:00:00,,"Steve Hahn",6/14/2001 0:00:00,"English Camp: summit of Young Hill","San Juan Island National Historical Park","SAN JUAN","WA","10/489870/5381240",198,"Dry-- rocky-- outcroppings-- specimen collected from a swale between rocks with deeper soil",0,0,"mineral soil","Aira caryophyllea/Arrhenatherum elatius/Hypochaeris radicata/Rubus ursinus","SAJH",5381240,489870,,"",,"Aira praecox"
"SAJH  230026","SAJH-00081","Poaceae","Aira praecox L.","yellow hairgrass","Steve Hahn","30",5/24/2001 0:00:00,,"Steve Hahn",5/24/2001 0:00:00,"American Camp: 100m east of Pickett's Lane among the overgrazed vegetation of a rabbit colony","San Juan Island National Historical Park","SAN JUAN","WA","10/499970/5367545",30,"Severely disturbed prairie dominated by non-native herbs and grasses-- full sun",2,216,"gravel","Vicia hirsuta/Circium arvense/Bromus sp./Aira caryophyllea","SAJH",5367545,499970,,"",,"Aira praecox"
"SAJH  230027","SAJH-00081","Poaceae","Aira praecox L.","yellow hairgrass","Steve Hahn","409",6/13/2001 0:00:00,,"Steve Hahn",6/14/2001 0:00:00,"English Camp: summit of Young Hill","San Juan Island National Historical Park","SAN JUAN","WA","10/489870/5381240",198,"Dry rocky outcroppings-- specimen collected from a swale between rocks with deeper soil",0,0,"mineral soil","Aira caryophyllea/Arrhenatherum elatius/Hypochaeris radicata/Rubus ursinus","SAJH",5381240,489870,,"",,"Aira praecox"
"SAJH  230028","SAJH-00081","Liliaceae","Allium acuminatum Hook.","tapertip onion","Steve Hahn","56",5/25/2001 0:00:00,,"Steve Hahn",5/25/2001 0:00:00,"American Camp: west end of south beach-- past parking area in sand flats","San Juan Island National Historical Park","SAN JUAN","WA","10/499460/5367085",2,"Large-- rocky-- sandflat above the high tide line-- full sun",0,0,"sand/gravel","Erodium cicutarium/Vulpia bromoides/Amsinckia menziesii","SAJH",5367085,499460,,"",,"Allium acuminatum"
"SAJH  230029","SAJH-00081","Betulaceae","Alnus rubra Bong.","red alder","Teresa DeKoker","104",6/26/2001 0:00:00,,"Teresa DeKoker",6/26/2001 0:00:00,"American Camp: brackish lagoon full of driftwood just above Fourth of July Beach","San Juan Island National Historical Park","SAN JUAN","WA","10/499800/5368260",0,"Growing on small upland between a fresh water wetland and a salt marsh",0,0,"mineral soil","Rosa nutkana/Cornus sericea/Salix sp.","SAJH",5368260,499800,,"",,"Alnus rubra"
"SAJH  230030","SAJH-00081","Poaceae","Alopecurus aequalis Sobol.","shortawn foxtail","Steve Hahn","263",8/3/2001 0:00:00,,"Steve Hahn",9/18/2001 0:00:00,"American Camp: small pond above Third Lagoon at the trail junction","San Juan Island National Historical Park","SAN JUAN","WA","10/501581/5367472",18,"Emergent wetland-- no water at this date-- partial sun",0,0,"mineral soil","Glyceria borealis/Callitriche heterophylla/Oenothera sarmentosa","SAJH",5367472,501581,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Alopecurus aequalis"
"SAJH  230031","SAJH-00081","Poaceae","Alopecurus aequalis Sobol.","shortawn foxtail","Steve Hahn","422",8/3/2001 0:00:00,,"Steve Hahn",9/18/2001 0:00:00,"American Camp: small pond above Third Lagoon at the trail junction","San Juan Island National Historical Park","SAN JUAN","WA","10/501581/5367472",18,"Emergent wetland-- no water at this date-- partial sun",0,0,"mineral soil","Glyceria borealis/Callitriche heterophylla/Oenothera sarmentosa","SAJH",5367472,501581,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Alopecurus aequalis"
"SAJH  230032","SAJH-00081","Asteraceae","Ambrosia chamissonis (Less.) Greene var. bipinnatisecta","silver burr ragweed","Teresa DeKoker","21",6/7/2001 0:00:00,,"Steve Hahn",6/7/2001 0:00:00,"American Camp: South Beach-- at the bottom of steep and erosive bluffs","San Juan Island National Historical Park","SAN JUAN","WA","10/500840/5366880",3,"Sandy slope adjacent to the beach-- full sun",1,160,"mineral soil","Vicia gigantea/Hypochaeris radicata","SAJH",5366880,500840,,"",,"Ambrosia chamissonis"
"SAJH  230033","SAJH-00081","Rosaceae","Amelanchier alnifolia (Nutt) var. alnifolia","western serviceberry","Steve Hahn","195",6/28/2001 0:00:00,,"Steve Hahn",6/28/2001 0:00:00,"English Camp: along Garrison Bay-- 1/3 mile south of the Parade Grounds","San Juan Island National Historical Park","SAN JUAN","WA","10/488954/5381165",3,"Edge of coniferous forest-- partial sun",8,258,"mineral soil","Holodiscus discolor/Festuca subulata/Lonicera hispidula","SAJH",5381165,488954,,"",,"Amelanchier alnifolia var. alnifolia"
"SAJH  230034","SAJH-00081","Boraginaceae","Amsinckia menziesii var. intermedia (Fisch & C.A. Mey.) Ganders","coast fiddleneck","Steve Hahn","36",4/24/2001 0:00:00,,"Steve Hahn",5/24/2001 0:00:00,"American Camp: east of Pickett's Lane in the sand dunes","San Juan Island National Historical Park","SAN JUAN","WA","10/500070/5367385",26,"Along the border of sand dunes-- and in swales between dunes",4,300,"sand","Pteridium aquilinum/Circium arvensis/Bromus sp.","SAJH",5367385,500070,,"",,"Amsinckia menziesii var. intermedia"
"SAJH  230035","SAJH-00081","Boraginaceae","Amsinckia menziesii var. intermedia (Fisch & C.A. Mey.) Ganders","coast fiddleneck","Steve Hahn","34",5/24/2001 0:00:00,,"Steve Hahn",5/24/2001 0:00:00,"American Camp: east of Pickett's Lane in the sand dunes","San Juan Island National Historical Park","SAN JUAN","WA","10/500070/5367385",26,"Growing directly out of sand dunes-- concentrated along the edges of undulating dunes",4,302,"sand","Bromus sp.","SAJH",5367385,500070,,"",,"Amsinckia menziesii var. intermedia"
"SAJH  230036","SAJH-00081","Primulaceae","Anagallis arvensis (L.)","scarlet pimpernel","Teresa DeKoker","91",6/25/2001 0:00:00,,"Steve Hahn",6/26/2001 0:00:00,"American Camp: South Beach roadside","San Juan Island National Historical Park","SAN JUAN","WA","10/499733/5367090",3,"Disturbed road edge dominated by compacted gravel and litter-- full sun",1,182,"gravel","Abronia latifolia/Bromus sp.","SAJH",5367090,499733,,"",,"Anagallis arvensis"
"SAJH  230037","SAJH-00081","Asteraceae","Anaphalis margaritacea (L.) B&H","pearly everlasting","Teresa DeKoker","126",7/10/2001 0:00:00,,"Teresa DeKoker",7/10/2001 0:00:00,"American Camp: along the western boundary above Eagle Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/497892/5367665",40,"Prairie dominated by adventive grasses and forbs-- full sun",1,200,"mineral soil","Circium arvense/Pteridium aqualinum/Rubus ursinus/Holcus lanatus","SAJH",5367665,497892,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Anaphalis margaritacea"
"SAJH  230038","SAJH-00081","Asteraceae","Anaphalis margaritacea (L.) B&H","pearly everlasting","Ken Arzarian","5",9/18/2001 0:00:00,,"Steve Hahn",10/23/2001 0:00:00,"American Camp: along the bluff trail-- east of trail from the Redoubt","San Juan Island National Historical Park","SAN JUAN","WA","10/498875/5367275",14,"Open meadow-- full sunlight-- fully exposed to weather coming off the straits",3,180,"mineral soil","Rubus ursinus/Holcus lanatus/Circium vulgare/Plantago sp.","SAJH",5367275,498875,,"",,"Anaphalis margaritacea"
"SAJH  230039","SAJH-00081","Poaceae","Anthoxanthum odoratum L.","sweet vernalgrass","Teresa DeKoker","72",6/21/2001 0:00:00,,"Steve Hahn",6/22/2001 0:00:00,"American Camp: above South Beach parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499690/5367245",21,"Prairie-- full sun-- rabbit colony within 5 meters",5,180,"mineral soil","Agrostis sp./Epilobium sp.","SAJH",5367245,499690,,"",,"Anthoxanthum odoratum"
"SAJH  230040","SAJH-00081","Poaceae","Anthoxanthum odoratum L.","sweet vernalgrass","Steve Hahn","43",5/25/2001 0:00:00,,"Steve Hahn",5/25/2001 0:00:00,"American Camp: roadside-- near the Visitors Center","San Juan Island National Historical Park","SAN JUAN","WA","10/498120/5367955",46,"Growing on disturbed ground along roadway-- partial sun",0,0,"gravel","Rosa nutkana/Rubus parviflora/Geum macrophyllum","SAJH",5367955,498120,,"",,"Anthoxanthum odoratum"
"SAJH  230041","SAJH-00081","Poaceae","Anthoxanthum odoratum L.","sweet vernalgrass","Steve Hahn","411",6/21/2001 0:00:00,,"Steve Hahn",6/22/2001 0:00:00,"American Camp: above South Beach parking lot","San Juan Island National Historical Park","SAN JUAN","WA","10/499690/5367245",21,"Prairie-- full sun-- rabbit colony within 5 meters",5,180,"mineral soil","Agrostis sp./Epilobium sp.","SAJH",5367245,499690,,"",,"Anthoxanthum odoratum"
"SAJH  230042","SAJH-00081","Ericaceae","Arbutus menziesii Pursh.","Pacific madrone","Steve Hahn","61",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp: Young Hill-- just down slope from the cemetary","San Juan Island National Historical Park","SAN JUAN","WA","10/489520/5381135",91,"Open oak woodland with a grass understory",3,271,"mineral soil","Quercus garryana/Pseudotsuga menziesii","SAJH",5381135,489520,,"",,"Arbutus menziesii"
"SAJH  230043","SAJH-00081","Asteraceae","Arctium minus (Hill) Bernh.","common burdock","Steve Hahn","241",7/25/2001 0:00:00,,"Steve Hahn",7/25/2001 0:00:00,"English Camp: Crook House grounds","San Juan Island National Historical Park","SAN JUAN","WA","10/489051/5381565",12,"Disturbed area alongside the Crook House-- growing with an assortment of adventive species",3,255,"mineral soil","Holcus lanatus/Festuca arundinacea","SAJH",5381565,489051,9/8/2008 0:00:00,"Lise Grace","Edited coordinate per G. Rochefort","Arctium minus"
"SAJH  230044","SAJH-00081","Plumbaginaceae","Armeria maritima ssp. sibirica (Turcz. Ex Boiss.) Nyman","Siberian sea thrift","Steve Hahn","138",6/14/2001 0:00:00,,"Steve Hahn",6/14/2001 0:00:00,"American Camp: small sand dunes above Grandma's Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/498318/5367156",12,"Erosive edges of sand dune-- full sun",5,196,"sandy soil","Lupinus littoralis/Bromus sp./Grindelia integrifolia","SAJH",5367156,498318,,"",,"Armeria maritima ssp. sibirica"
"SAJH  230045","SAJH-00081","Poaceae","Arrhenatherum elatius var. elatius (L.) Beauv. Ex J. & K. Presl","tall oatgrass","Steve Hahn","68",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp: meadow below Young Hill on the west side","San Juan Island National Historical Park","SAN JUAN","WA","10/489655/5380970",107,"A Garry oak woodland-- interspersed with expanses of adventive meadow",10,298,"mineral soil","Marah oregana/Vicia sativa/Quercus garryana","SAJH",5380970,489655,,"",,"Arrhenatherum elatius var. elatius"
"SAJH  230046","SAJH-00081","Poaceae","Arrhenatherum elatius var. elatius (L.) Beauv. Ex J. & K. Presl","tall oatgrass","Steve Hahn","349",5/29/2001 0:00:00,,"Steve Hahn",5/29/2001 0:00:00,"English Camp: meadow below Young Hill on the west side","San Juan Island National Historical Park","SAN JUAN","WA","10/489655/5380970",107,"A Garry oak woodland-- interspersed with expanses of adventive meadow",10,298,"mineral soil","Marah oregana/Vicia sativa/P73Quercus garryana","SAJH",5380970,489655,,"",,"Arrhenatherum elatius var. elatius"
"SAJH  230047","SAJH-00081","Asteraceae","Symphyotrichum hallii (Gray) Nesom","Hall's aster","Ken Arzarian","11",9/10/2001 0:00:00,,"Steve Hahn",10/31/2001 0:00:00,"American Camp:  west of Grandma's Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/497920/5367370",21,"Open grassland-- full sunlight",4,190,"mineral soil","Poa pratensis/Holcus lanatus/Circium arvensis/Hypochaeris radicata","SAJH",5367370,497920,,"",,"Symphyotrichum hallii"
"SAJH  230048","SAJH-00081","Asteraceae","Symphyotrichum hallii (Gray) Nesom","Hall's aster","Ken Arzarian","16",9/10/2001 0:00:00,,"Steve Hahn",10/31/2001 0:00:00,"American Camp:  west of Grandma's Cove","San Juan Island National Historical Park","SAN JUAN","WA","10/497920/5367370",21,"Open grassland-- full sunlight",4,190,"mineral soil","Poa pratensis/Holcus lanatus/Circium arvensis/Hypochaeris radicata","SAJH",5367370,497920,,"",,"Symphyotrichum hallii"
