Herbarium	Accession Number	Family	Genus	Species	Species Author	Subtype	Subtaxon	Subtaxon Author	ID Doubted	Scientific Name	Accepted Name (Taxon Name)	Determiner	Determination Day	Determination Month	Determination Year	Collector	Collector Number Prefix	Collector Number	Collector Number Suffix	Full Collector Number	Associated Collectors	Collection Day	Collection Month	Collection Year	Site Code	Country	State	County	Locality	Elevation (Feet)	Elevation (Meters)	Latitude Degrees	Latitude Minutes	Latitude Seconds	North or South	Longitude Degrees	Longitude Minutes	Longitude Seconds	West or East	Site Description	Specimen Description	Origin	Phenology
WTU	355628	Apiaceae	Sanicula	crassicaulis	Poepp.					Sanicula crassicaulis	Sanicula crassicaulis	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	43		PWD 43		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Uncommon; flowers yellow.	Native	Flowering
WTU	356096	Apocynaceae	Vinca	major	L.					Vinca major	Vinca major	Ben Legler	24	Jun	2004	Ben Legler		1714		1714		4	Jun	2004	Ben Legler_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at beach-side parking lot on Hill Road."	7	2	48	11.56		N	122	42.44		W	Weedy gravel parking area bordering gravelly beach and driftwood.	"Flowers purple; large patch of plants on roadside, possibly planted."	Introduced	Flowering
WTU	357078	Aquifoliaceae	Ilex	aquifolium	L.					Ilex aquifolium	Ilex aquifolium	Ben Legler	6	Oct	2004	Jeff Walker		281		281		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		Flowers staminate; in shady forest.	Introduced	Flowering
WTU	355899	Asteraceae	Achillea	millefolium	L.	var.	occidentalis	DC.		Achillea millefolium var. occidentalis	Achillea millefolium var. occidentalis	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	20		PWD 20		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Abundant on on bluff.	Native	Flowering
WTU	356097	Asteraceae	Ambrosia	chamissonis	(Less.) Greene	var.	bipinnatisecta	(Less.) J.T. Howell		Ambrosia chamissonis var. bipinnatisecta	Ambrosia chamissonis	Ben Legler	24	Jun	2004	Ben Legler		1690		1690		4	Jun	2004	Ben Legler_2004-Jun-4__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; State Park property along bluff 1/4 mile N of parking area on Hill Road."	7	2	48	11.64		N	122	42.67		W	Steep SW-facing sandy-gravelly bluff directly above cobble beach.	Large perennial with trailing stems forming patch 2 meters across on upper beach.	Native	Flowering
WTU	357069	Asteraceae	Anaphalis	margaritacea	(L.) Benth. & Hook.					Anaphalis margaritacea	Anaphalis margaritacea	Ben Legler	6	Oct	2004	Jeff Walker		266		266		10	Sep	2004	Jeff Walker_2004-Sep-10__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; around the western and northern edges of Perego?s Lagoon."	5	2	48	12	8	N	122	44	5	W		Growing in sand between ponds.	Native	Flowering & Fruiting
WTU	356226	Asteraceae	Anthemis	cotula	L.				?	Anthemis cotula	Anthemis cotula	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD  	83		PWD  83	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, sheep barn."			48	11.789		N	122	43.020		W	"Ruderal species invading unplowed field: Brassicaceae, Amsinckia, Sisymbrium."	Common in field; disk flowers yellow; receptacle chaffy towards middle; rays sterile.	Introduced	Flowering
WTU	357111	Asteraceae	Arctium	minus	(Hill) Bernh.					Arctium minus	Arctium minus	Ben Legler	6	Oct	2004	Don Knoke		736		736		10	Sep	2004	Don Knoke_2004-Sep-10__E	USA	Washington	Island	Whidbey Island; base of bank near parking lot at Ebey?s Landing.	20	6	48	11.5		N	122	42.4		W	"Other plants: Symphoricarpos alba, Conium maculatum, Sambucus racemosa, Vicia gigantea."	Flowers purple; locally common; sandy soil.Sheet 1 of 2.	Introduced	Flowering & Fruiting
WTU	357112	Asteraceae	Arctium	minus	(Hill) Bernh.					Arctium minus	Arctium minus	Ben Legler	6	Oct	2004	Don Knoke		736		736		10	Sep	2004	Don Knoke_2004-Sep-10__E	USA	Washington	Island	Whidbey Island; base of bank near parking lot at Ebey?s Landing.	20	6	48	11.5		N	122	42.4		W	"Other plants: Symphoricarpos alba, Conium maculatum, Sambucus racemosa, Vicia gigantea."	Flowers purple; locally common; sandy soil.Sheet 2 of 2.	Introduced	Flowering & Fruiting
WTU	357056	Asteraceae	Artemisia	campestris	L.	ssp.	borealis var. scouleriana	(Bess.) Cronq.		Artemisia campestris ssp. borealis var. scouleriana	Artemisia campestris ssp. borealis var. scouleriana	Ben Legler	6	Oct	2004	Jeff Walker		286		286		10	Sep	2004	Jeff Walker_2004-Sep-10__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; at edge of bluff on beach."	3	1	48	11	42	N	122	42	56	W		"Growing with Leymus mollis, Equisetum hyemale, Grindelia integrifollia, Bromus sp.; common."	Native	Flowering
WTU	357097	Asteraceae	Aster	subspicatus	Nees				?	Aster subspicatus	Symphyotrichum subspicatum var. subspicatum	Ben Legler	6	Oct	2004	Don Knoke		717		717		10	Sep	2004	Don Knoke_2004-Sep-10__C	USA	Washington	Island	Whidbey Island; on bluff below Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Pseudotsuga menziesii, Symphoricarpos alba, Holodiscus discolor."	"Disk flowers yellow, ray flowers violet; rhizomatous; circa one meter tall."	Native	Flowering
WTU	355982	Asteraceae	Chrysopsis	villosa	(Pursh) Nutt.	var.	villosa			Chrysopsis villosa var. villosa	Heterotheca villosa var. villosa	Ben Legler	24	Jun	2004	Ben Legler		1692		1692		4	Jun	2004	Ben Legler_2004-Jun-4__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; State Park property along bluff 1/4 mile N of parking area on Hill Road."	7	2	48	11.64		N	122	42.67		W	Steep SW-facing sandy-gravelly bluff directly above cobble beach.	Flowers yellow; stems from a semi-woody branched caudex; on bluff.	Native	Flowering
WTU	357106	Asteraceae	Cirsium	arvense	(L.) Scop.					Cirsium arvense	Cirsium arvense	Ben Legler	6	Oct	2004	Don Knoke		719		719		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Rose-purple flowers; locally abundant; invasive; gravelly soil.	Introduced	Flowering
WTU	357086	Asteraceae	Cirsium	arvense	(L.) Scop.					Cirsium arvense	Cirsium arvense	Ben Legler	6	Oct	2004	Jeff Walker		271		271		10	Sep	2004	Jeff Walker_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; east side of Perego?s Lagoon."	5	2	48	12	6	N	122	43	53	W		Frequent; at base of bluff in scattered patches.	Introduced	Flowering
WTU	357064	Asteraceae	Cirsium	vulgare	(Savi) Tenore					Cirsium vulgare	Cirsium vulgare	Ben Legler	6	Oct	2004	Don Knoke		730		730		10	Sep	2004	Don Knoke_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot, higher wooded area."	20	6	48	11.5		N	122	42.4		W	"Other plants: Pseudotsuga menziesii, Lonicera hispidula, Symphoricarpos alba, Holodiscus discolor."	Flowers purple; common; gravelly soil.	Introduced	Flowering
WTU	357743	Asteraceae	Cirsium	vulgare	(Savi) Tenore					Cirsium vulgare	Cirsium vulgare	Ben Legler	6	Oct	2004	Jeff Walker		290		290		10	Sep	2004	Jeff Walker_2004-Sep-10__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; at edge of bluff on beach."	3	1	48	11	42	N	122	42	56	W		Occasional in back beach; with Grindelia integrifolia and Leymus mollis.	Introduced	Flowering & Fruiting
WTU	357099	Asteraceae	Conyza	canadensis	(L.) Cronq.					Conyza canadensis	Conyza canadensis	Ben Legler	6	Oct	2004	Don Knoke		727		727		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	"Disk flowers yellow, ray flowers white; common; gravelly soil."	Introduced	Flowering
WTU	355987	Asteraceae	Crepis	capillaris	(L.) Wallr.					Crepis capillaris	Crepis capillaris	Ben Legler	24	Jun	2004	Ben Legler		1684		1684		4	Jun	2004	Ben Legler_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; on the south end of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh dominated by Salicornia virginica and Distichlys spicata, at base of steep SW-facing sandy bluff."	Flowers yellow; scattered but common along lower part of bluff.	Introduced	Flowering
WTU	357057	Asteraceae	Crepis	capillaris	(L.) Wallr.					Crepis capillaris	Crepis capillaris	Ben Legler	6	Oct	2004	Jeff Walker		289		289		10	Sep	2004	Jeff Walker_2004-Sep-10__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; at edge of bluff on beach."	3	1	48	11	42	N	122	42	56	W		Scattered along base of slope; with Lactuca serriola; flowers yellow.	Introduced	Flowering & Fruiting
WTU	355378	Asteraceae	Eriophyllum	lanatum	(Pursh) Forbes	var.	lanatum			Eriophyllum lanatum var. lanatum	Eriophyllum lanatum var. lanatum	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	54		PWD 54		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3 km north of main parking lot along main trail.  "	197	60	48	11.882		N	122	43.369		W	Collecting below trail and in nearby Pseudotsuga forest.	Flowers yellow.	Native	Flowering
WTU	357085	Asteraceae	Gnaphalium	chilense	Spreng.					Gnaphalium chilense	Pseudognaphalium stramineum	Ben Legler	6	Oct	2004	Jeff Walker		292		292		10	Sep	2004	Jeff Walker_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; east side of Perego?s Lagoon."	5	2	48	12	6	N	122	43	53	W		Flowers light yellow; uncommon.	Native	Flowering & Fruiting
WTU	355981	Asteraceae	Gnaphalium	purpureum	L.					Gnaphalium purpureum	Gamochaeta purpurea	Ben Legler	24	Jun	2004	Ben Legler		1708		1708		4	Jun	2004	Ben Legler_2004-Jun-4__C	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	"Open, grassy, SW-facing bluff backed by Pseudotsuga forest."	Inflorescence light brown; pappus falling as a ring; uncommon along trail.	Native	Fertile
WTU	357067	Asteraceae	Grindelia	integrifolia	DC.	var.	macrophylla	(Greene) Cronq.		Grindelia integrifolia var. macrophylla	Grindelia stricta var. stricta	Ben Legler	6	Oct	2004	Don Knoke		709		709		10	Sep	2004	Don Knoke_2004-Sep-10__A	USA	Washington	Island	Whidbey Island; Parking lot at Ebey?s Landing.	20	6	48	11.5		N	122	42.4		W	"Other plants: Elymus mollis, Abronia latifolia, Cakile maritima, Gnaphalium chilense."	Flowers yellow; common.	Native	Flowering
WTU	355643	Asteraceae	Hypochaeris	radicata	L.					Hypochaeris radicata	Hypochaeris radicata	Ben Legler	18	May	2004	Ben Legler		1512		1512		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	Flowers yello; scattered in sandy soil.	Introduced	Flowering
WTU	355517	Asteraceae	Hypochaeris	radicata	L.					Hypochaeris radicata	Hypochaeris radicata	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	19		PWD 19		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Taprooted perennial to 30 cm; Ligule flowers yellow.	Introduced	Flowering
WTU	356484	Asteraceae	Hypochaeris	radicata	L.					Hypochaeris radicata	Hypochaeris radicata	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	27		PWD 27		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Yellow ligule flowers; to 40cm.	Introduced	Flowering
WTU	357745	Asteraceae	Lactuca	serriola	L.					Lactuca serriola	Lactuca serriola	Ben Legler	6	Oct	2004	Jeff Walker		288		288		10	Sep	2004	Jeff Walker_2004-Sep-10__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; at edge of bluff on beach."	3	1	48	11	42	N	122	42	56	W		Common along base of slope.	Introduced	Fruiting
WTU	356090	Asteraceae	Matricaria	chamomilla	L.					Matricaria chamomilla	Matricaria recutita	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD 	108		PWD 108	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	"White ray, yellow disk flowers; scattered."	Introduced	Flowering
WTU	355977	Asteraceae	Matricaria	discoidea	DC.					Matricaria discoidea	Matricaria discoidea	Ben Legler	24	Jun	2004	Ben Legler		1713		1713		4	Jun	2004	Ben Legler_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at beach-side parking lot on Hill Road."	7	2	48	11.56		N	122	42.44		W	Weedy gravel parking area bordering gravelly beach and driftwood.	"Heads yellow-green, discoid; common in parking lot."	Native	Fertile
WTU	357065	Asteraceae	Senecio	jacobaea	L.					Senecio jacobaea	Senecio jacobaea	Ben Legler	6	Oct	2004	Don Knoke		733		733		10	Sep	2004	Don Knoke_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot, higher wooded area."	20	6	48	11.5		N	122	42.4		W	"Other plants: Pseudotsuga menziesii, Lonicera hispidula, Symphoricarpos alba, Holodiscus discolor."	Common; gravelly soil.	Introduced	Flowering
WTU	356092	Asteraceae	Senecio	sylvaticus	L.					Senecio sylvaticus	Senecio sylvaticus	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD 	113		PWD 113	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__F	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, SE end of Lagoon."	4	1	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	"Yellow rays; annual; sandy, sunny open ground with Leymus."	Introduced	Fruiting
WTU	355637	Asteraceae	Senecio	vulgaris	L.					Senecio vulgaris	Senecio vulgaris	Ben Legler	18	May	2004	Ben Legler		1483		1483		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	Flowers yellowish; in gravelly soil at edge of parking lot.	Introduced	Fertile
WTU	355616	Asteraceae	Senecio	vulgaris	L.					Senecio vulgaris	Senecio vulgaris	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	9		PWD 9		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Fruiting
WTU	357096	Asteraceae	Solidago	canadensis	L.	var.	salebrosa	(Piper) Jones		Solidago canadensis var. salebrosa	Solidago canadensis var. salebrosa	Ben Legler	6	Oct	2004	Don Knoke		718		718		10	Sep	2004	Don Knoke_2004-Sep-10__C	USA	Washington	Island	Whidbey Island; on bluff below Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Pseudotsuga menziesii, Symphoricarpos alba, Holodiscus discolor."	Flowers yellow; uncommon.	Native	Flowering
WTU	357072	Asteraceae	Sonchus	arvensis	L.					Sonchus arvensis	Sonchus arvensis	Ben Legler	6	Oct	2004	Jeff Walker		268		268		10	Sep	2004	Jeff Walker_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; east side of Perego?s Lagoon."	5	2	48	12	6	N	122	43	53	W		One large patch; cobble shoreline above lagoon.	Introduced	Flowering & Fruiting
WTU	356088	Asteraceae	Sonchus	asper	(L.) Hill					Sonchus asper	Sonchus asper	Ben Legler	24	Jun	2004	Peter W. Dunwiddie	PWD 	106		PWD 106	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, field edge."			48	11.921		N	122	42.902		W	Full sun; dry.	Tall prickly composite; yellow flowers; latex; hollow stem; infrequent.	Introduced	Flowering
WTU	355650	Asteraceae	Sonchus	oleraceus	L.					Sonchus oleraceus	Sonchus oleraceus	Ben Legler	18	May	2004	Ben Legler		1509		1509		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.			Fertile
WTU	357083	Asteraceae	Tanacetum	vulgare	L.					Tanacetum vulgare	Tanacetum vulgare	Ben Legler	6	Oct	2004	Don Knoke		734		734		10	Sep	2004	Don Knoke_2004-Sep-10__E	USA	Washington	Island	Whidbey Island; base of bank near parking lot at Ebey?s Landing.	20	6	48	11.5		N	122	42.4		W	"Other plants: Symphoricarpos alba, Conium maculatum, Sambucus racemosa, Vicia gigantea."	Uncommon; sandy soil.	Introduced	Flowering
WTU	355615	Asteraceae	Taraxacum	officinale	Weber					Taraxacum officinale	Taraxacum officinale	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	12		PWD 12		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Introduced	Fruiting
WTU	355896	Asteraceae	Tragopogon	porrifolius	L.					Tragopogon porrifolius	Tragopogon porrifolius	Ben Legler	18	May	2004	Peter W. Dunwiddie	PWD 	24		PWD 24		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Ligule flowers purplish-pink; common; to 70 cm.	Introduced	Flowering
WTU	355518	Berberidaceae	Berberis	aquifolium	Pursh					Berberis aquifolium	Mahonia aquifolium	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	23		PWD 23		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Fruiting.	Native	Fruiting
WTU	355622	Boraginaceae	Amsinckia	menziesii	(Lehm.) Nels. & Macbr.					Amsinckia menziesii	Amsinckia menziesii	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	2		PWD 2		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Native	Flowering
