geometry,Bed Name,Location,Survey Date,Acres,Miles,County,Time (GMT),Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW) 1,CORRECTED DEPTH: Edge farthest from shore (m MLLW) 1,Water Temp (C ) Shore Edge 1,Water Temp (C ) Water Edge 1,CORRECTED DEPTH: Edge closest to shore (m MLLW) 2,CORRECTED DEPTH: Edge farthest from shore (m MLLW) 2,Water Temp (C ) Shore Edge 2,Water Temp (C ) Water Edge 2,Weather,Tide Station,MLLW Tidal_Ht (m),Tidal_Ht (m),Observations,Additional Observations,Notes,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,survno,Surveyor,SurveyID
Geocortex.Gis.Geometries.Polygon,Possession Point,Possession Point,"Aug 24, 2022",81.5517067576175,2.38398746794968,Island,,08:59,10:17,2.02866,4.16226,16,15,5.68626,1.72386,16.5,16.5,clear,Glendale (9447814),-0.07446,0.03048,"more density than previous month, fronds still appear healthy, bulbs starting to show signs of decay,some bare bulbs along West side of bed, several Kingfishers and Great Blue Herons fishing, pair of Pigeon Guillemots, many schools of small fish, fish jumping along outer edge of bed (possibly Coho), several Harbor Seals","wpt #036 - NE extent of area surveyed
wpt #041 - West extent of survey area",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-PgCRb65/0/cbbe2f4f/XL/island_possession_point_2022_08_24_21_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-zZ3Xp3j/0/5e0e158b/XL/island_possession_point_2022_08_24_21_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-hgFCvXT/0/c1653346/XL/island_possession_point_2022_08_24_21_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-ZhbDRR3/0/2a03b6bd/XL/island_possession_point_2022_08_24_21_BeR-XL.jpg,,Ron Beier,island_possession_point_2022_08_24_21
Geocortex.Gis.Geometries.Polygon,Possession Point,Possession Point,"Sept 10, 2022",88.6309006632385,2.38255771063196,Island,,10:10,11:17,5.24688,4.78968,14.5,14,5.39928,2.65608,14,14.5,haze,Glendale (9447814),-0.08712,0,"kelp appears healthy with some bulb rot visible and algal growth on bulbs and stipes, a small area of many bare bulbs and a few mis-shaped bulbs/small curly fronds in Northwest corner of bed (see photos)","Red Rock Crabs on bottom, several schools of small fish, larger fish (possibly Coho) jumping along outer edge of bed, several Great Blue Heron fishing along shore, many Harbor Seals, several white/translucent nudibranchs",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-jq7FRSf/0/8f68a30d/XL/island_possession_point_2022_09_10_22_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-5DH3PGz/0/296b5980/XL/island_possession_point_2022_09_10_22_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-mbsZsqh/0/85053335/XL/island_possession_point_2022_09_10_22_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-NMv7bvj/0/76a7dad7/XL/island_possession_point_2022_09_10_22_BeR-XL.jpg,,Ron Beier,island_possession_point_2022_09_10_22
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"June 25, 2022",6.12210469983357,0.682108292727986,Jefferson,,09:00,10:05,1.39768,3.59224,11.7,10.7,1.61104,1.30624,11.1,11.2,clear,Port Townsend (9444900),-0.18728,-0.33528,"Kelp less dense and less developed; bulbs not fully at surface. Smaller bed extends less deep and kayaked around nearshore edge. Very weak east point tapered off; then at 30 ft to next cluster of kelp (within boundary). Less intermittent/patchy kelp around typical bed. Deep edge not well developed. Lots of feather boa, more dominant kelp species present. Saw seal and lots of small silver fish. Bull kelp seemed underdeveloped and somewhat crowded by feather boa kelp.",N/A,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-SsRmsDK/0/c6b8aeb4/S/jefferson_north_beach_east_2022_06_25_43_ToBe-S.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-Pkzqn7c/0/74d8e494/XL/jefferson_north_beach_east_2022_06_25_43_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-fztsthm/0/a231db95/XL/jefferson_north_beach_east_2022_06_25_43_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-VnXSM3H/0/0da394f1/XL/jefferson_north_beach_east_2022_06_25_43_BeR-XL.jpg,,Solenne Walker,jefferson_north_beach_east_2022_06_25_43
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"July 27, 2022",16.5850783994964,1.08332843309503,Jefferson,,09:00,10:23,1.22332,8.75188,12,11.1,4.54564,4.4542,11.1,11.3,clear,Port Townsend (9444900),0.187,0,Scattered bulbs on west side of bed. Some reproductive blades. Small fish jumping everywhere. Sparse kelp on east side of bed in middle area. Bulbs 5m apart. East boundary is at viewing platform behind tree with 2 trunks - lots of feather boa here. Some kelp crabs observed.,,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-dbFWKJT/0/9820e949/XL/jefferson_north_beach_east_2022_07_27_44_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-p6cgKCP/0/23816c2d/XL/jefferson_north_beach_east_2022_07_27_44_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-VprBWs7/0/ece6ad1b/XL/jefferson_north_beach_east_2022_07_27_44_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-Bt3ZB9V/0/14e4aca9/XL/jefferson_north_beach_east_2022_07_27_44_BeR-XL.jpg,,Solenne Walker,jefferson_north_beach_east_2022_07_27_44
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"Aug 27, 2022",19.1454555656372,0.934583760601618,Jefferson,,10:00,10:52,2.04716,9.149,11.8,11.5,4.15028,5.1866,11.5,11.6,clouds,Port Townsend (9444900),0.005,0,Many gulls on shore and pecking at floating kelp bulbs. Feather boa plentiful in nearshore. Bed filled in at the center since the second survey.,,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-n3CbnWL/0/a478665d/XL/jefferson_north_beach_east_2022_08_27_45_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-gbvzLBC/0/363d9ec6/XL/jefferson_north_beach_east_2022_08_27_45_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-FsJP6NJ/0/b734216a/XL/jefferson_north_beach_east_2022_08_27_45_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-zwWQcT2/0/c118ef34/XL/jefferson_north_beach_east_2022_08_27_45_BeR-XL.jpg,,Solenne Walker,jefferson_north_beach_east_2022_08_27_45
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"June 12, 2022",0.178308284891893,0.269414794569918,Skagit,,07:35,08:21,,2.86128,,,,,,,clouds,Burrows Bay (9448683),-0.18672,-0.1524,"The bed was narrower than ever previously observed in June.  Only a few small heads were seen below water level outside of our perimeter.  Saw 15 purple sea stars, one of which appeared bleached.  No other wildlife observed at kelp bed.  Video was taken of the bed and will be separately uploaded.",Slack current was predicted at 9:00.  We found flood current already moving at 7:35 when we arrived at the kelp bed.  We did not have a thermometer so could not gauge temperature.,,,,,,,John Freeto,skagit_biz_point_2022_06_12_1
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"July 17, 2022",0.476312121158868,0.267234702592039,Skagit,,12:17,12:34,,6.272,,11.111111111,,,,,clouds,Burrows Bay (9448683),-0.192808,-0.368808,"This Kelp Bed has expanded a little in width compared to our June survey but still is far narrower than all previous year's surveys.
Weather:  Little wind, overcast, calm seas.
Sea Stars: There were zero sea stars, even though we counted fifteen along the rocks during our June survey.  No birds, seals or other animals were observed.","Predicted slack current: 1:01PM (""Deep Zoom""), however we found flood current already moving when we arrived at the Kelp Bed at 12:19 PM. 
Predicted low tide:  1:25 PM
No photos or videos were taken.",,,,,,,John Freeto,skagit_biz_point_2022_07_17_8
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"Sept 8, 2022",0.9562124845996,0.281649817937712,Skagit,,07:52,08:08,,,,11.666666667,,,,,clear,Burrows Bay (9448683),0.147696,-0.237744,Kelp bed appeared to be very healthy and vigorous. It had expanded greatly in size compared to the last survey. A pair of belted kingfishers were  swooping down over the bed. Eight healthy purple Sea Stars were observed on the rocks.,"Photos:
1.Start of perimeter and waypoint #2
2.Toward perimeter and waypoint #1
3.Toward end of perimeter and waypoint #3",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-ms2tmjT/0/fefc5b38/XL/skagit_biz_point_2022_09_08_20_ToBe-XL.jpg,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-5fDJ8KD/0/cf7748e0/XL/skagit_biz_point_2022_09_08_20_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-7pZ4nk5/0/6dd7a7e0/XL/skagit_biz_point_2022_09_08_20_BeR-XL.jpg,,John Freeto,skagit_biz_point_2022_09_08_20
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"June 25, 2022",1.00899686657355,0.17380182796742,Skagit,,08:21,,7.42256,,11.111111111,,,10.77536,,11.111111111,clear,Burrows Bay (9448683),-0.04504,-0.1524,"Kelp was healthy and apparently new growth with many scattered bulbs on the edge s of the bed.  Small, silvery ""bait"" fish were occasionally jumping in the bed, and there was a harbor seal hanging around.  The sea was flat with no detectable current.",,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-pHTzX5q/0/039b45a6/XL/skagit_coffin_rocks_2022_06_25_4_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-c9zm8dR/0/627b748d/XL/skagit_coffin_rocks_2022_06_25_4_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-pRdVdZx/0/47753b5a/XL/skagit_coffin_rocks_2022_06_25_4_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-SQVCzL7/0/cffdf2fd/XL/skagit_coffin_rocks_2022_06_25_4_BeR-XL.jpg,,Bob Weathers,skagit_coffin_rocks_2022_06_25_4
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"July 25, 2022",1.24671691817732,0.192966484804031,Skagit,,08:42,09:05,7.24096,9.98416,12.222222222,12.222222222,,,,,clear,Burrows Bay (9448683),-0.04376,-0.27432,"Kelp looked healthy and more dense than in June, and a finger of new growth projected from the north end.  Surprisingly, the normal ""hole"" in the NE part of the bed appeared to have somewhat filled in - despite the 4-foot depth there.",,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-sXtJBBw/0/c719e80d/XL/skagit_coffin_rocks_2022_07_25_7_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-ZtGDCpJ/0/5b0c0b57/XL/skagit_coffin_rocks_2022_07_25_7_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-6pGCxgR/0/00a7303e/XL/skagit_coffin_rocks_2022_07_25_7_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-z5bj582/0/92bcd41d/XL/skagit_coffin_rocks_2022_07_25_7_BeR-XL.jpg,,Bob Weathers,skagit_coffin_rocks_2022_07_25_7
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"Aug 25, 2022",1.68423918688414,0.223256364802882,Skagit,,08:58,09:11,6.76016,10.11296,11.666666667,11.666666667,,,,,haze,Burrows Bay (9448683),-0.09784,-0.1524,"Kelp looked healthy. Current was running north, and there were about 30 gulls (mostly mature) on the rocks.","I recorded ""Haze"" for weather conditions, but it was also clear and high fog at times during the survey.
Perimeter track taken by Steve Olsen instead of Bob Weathers, and it looked a bit different than anticipated.  The GPS recorded waypoints but did not show them individually.",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-2RWbHkT/0/fc5c7e82/XL/skagit_coffin_rocks_2022_08_25_18_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-c97nKRL/0/6d4b9768/XL/skagit_coffin_rocks_2022_08_25_18_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-3hMPVsz/0/ed6b1d0f/XL/skagit_coffin_rocks_2022_08_25_18_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-3tqrf96/0/8bacadcd/XL/skagit_coffin_rocks_2022_08_25_18_BeR-XL.jpg,,Bob Weathers,skagit_coffin_rocks_2022_08_25_18
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,Coffin Rocks,"Sept 10, 2022",1.61769708161271,0.299301049876222,Skagit,,10:05,10:30,9.0108,10.23,11.666666667,11.111111111,,,,,haze,Burrows Bay (9448683),0.04968,-0.12192,"Smokey, calm, no current. Kelp looked healthy with new, scattered, low-density growth on the east side making it challenging to pick the best path to follow.  The result was a track that looks different from any that I/Bob has taken over the years.",There was no sign of the line of kelp that stretched from Gull Rocks across the mouth of the Bay in September 2021.,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-wrfW2jB/0/3206e5a7/XL/skagit_coffin_rocks_2022_09_10_23_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-kKKHVfC/0/0da3d651/XL/skagit_coffin_rocks_2022_09_10_23_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-c97nKRL/0/6d4b9768/XL/skagit_coffin_rocks_2022_08_25_18_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2022/i-V3qD6TL/0/72a57764/XL/skagit_coffin_rocks_2022_09_10_23_BeR-XL.jpg,,Bob Weathers,skagit_coffin_rocks_2022_09_10_23
