geometry,Bed Name,Survey Date,Acres,Miles,County,Location,Start time (PDT),End time (PDT),Weather,Tide Station,Observations,Additional Observations,Photo towards beach,Notes,MLLW Tidal_Ht (m),CORRECTED DEPTH: Edge closest to shore (m MLLW) 1,CORRECTED DEPTH: Edge closest to shore (m MLLW) 1,CORRECTED DEPTH: Edge farthest from shore (m MLLW) 1,CORRECTED DEPTH: Edge closest to shore (m MLLW) 2,Water Temp (C ) Shore Edge 1,Water Temp (C ) Water Edge 1,Water Temp (C ) Shore Edge 2,Water Temp (C ) Water Edge 2,MLLW Tidal_Ht (m),Survey Conditions,Current (knots),Current Station,Averaged Temp (C) Shore Edge,Averaged Temp (C) Water Edge,Averaged Depth (m) Shore Edge,Averaged Depth (m) Water Edge
Geocortex.Gis.Geometries.Polygon,Lowell Point,"July 16, 2023",4.35902676543405,0.891509957465317,Island,Camano Is. SP-Lowell,12:05 PM,13:31 PM,clear,Sandy Point (9447856),"Bed was moderately dense, blades looked healthy, not bleaching or torn. Moderate understory of kelp. A few boaters but some distance away. Harbor seal, forage fish, sea gulls, pigeon guillemots. 2nd Bed: Moderately dense bed, blades were healthy-no bleaching or torn. Moderate understory of kelp. Harbor seal, pigeon guillemots, kelp crab, sea gulls, anchored sea cucumbers, sea stars","The three small beds we had seen in June had grown into 2 significantly larger beds, the first extending from about 250 yards SE of Lowell Point south about 250 yards. The second bed was about 200 ft. SE of the first bed and extended SE about 400 yards.",https://photos.smugmug.com/photos/i-ChZXqjS/0/XL/i-ChZXqjS-XL.jpg,"Multipart Polygon-Depth, temp, & photo from larger bed",-0.01,0.96,1.6,3.91,5.77,16.5,15.5,15.7,15.7,-0.21,"8-12 knot winds, small waves, slow current. Kelp was moderately dense, kelp leaves were healthy, not bleached or torn. Small clusters outside of perimeter.",0,Greenbank,15.825,15.725,2.645,5.415
Geocortex.Gis.Geometries.Polygon,Lowell Point,"Aug 15, 2023",19.7389468598709,1.29214921984185,Island,Camano Is. SP-Lowell,11:59 AM,12:46 PM,clear,Sandy Point (9447856),"Bed was moderately dense, healthy blades-no bleaching, moderate understory, several harbor seals, many forage fish, 2 kelp crab, pigeon guillemots, sea gulls, anchored sea cucumbers, several boats in vicinity.","Overall, the bed has grown significantly since July. It has grown from 2 medium sized beds to one large bed that extends about 300 yds. SE of Lowell Point to our SE section border by the pier just NW of Elger Bay.",https://photos.smugmug.com/photos/i-DGjktDb/0/XL/i-DGjktDb-XL.jpg,,-0.23,1.55,1.22,6.09,7.04,21.3,18.1,18.4,21,-0.14,"2-4 knot winds, calm water, clear weather. Small clusters outsie main bed.",1,"Greenbank, Wa.",19.85,19.55,1.385,6.565
Geocortex.Gis.Geometries.Polygon,Polnell Point,"Aug 15, 2023",38.7129176086763,2.13185404076621,Island,Polnell Point,09:45 AM,12:05 PM,clear,Crescent Harbor (9447952),"Central western section & shallower areas are heavily aged (short or no blades, bleaching).  Peripheral areas & area about tip of the point have longer & younger blades with sori.
Multiple bulbs present beyond NW end of surveyed bed.
Separate offshore bed located at NW end of surveyed bed, but was not surveyed because it extended beyond shore segment point. 
Sori moderate; bryozoans few: kelp crab none","1 great blue heron on shoreline rocks
2 harbor seals on submerged rocks
Numerous fish schools throughout bed except in central western section; look like primarily shiner perch; few pile perch seen
Numerous ochre sea stars visible in shallower areas (<5'), nearly all have all 5 arms & majority are 6-8"" across",https://photos.smugmug.com/photos/i-q8zqBb2/0/XL/i-q8zqBb2-XL.jpg,,0,0.88,0.73,4.39,5.91,14.9,15.9,16,14.8,-0.19,"Calm, sunny, no wind; current east to west 0-1 kt",1,in-situ observation,15.45,15.35,0.805,5.15
Geocortex.Gis.Geometries.Polygon,Possession Point,"June 30, 2023",2.52953758696746,0.517850423400379,Island,Possession Point,07:28 AM,09:02 AM,clear,Glendale (9447814),"Sori Present, Very Murky, Sparse Kelp, Large Portion of Subsurface Kelp, West Side of Bed Was a Mix of Seagrass and Bull Kelp, Some Unidentified Fish. Small bed: only took one temp and depth data in the center of this track, sori present",,https://photos.smugmug.com/photos/i-t9JMS92/0/XL/i-t9JMS92-XL.jpg,"Multipart Polygon-Depth, temp, & photo from largest portion",0.06,1.44,0.53,2.51,2.81,15.5,15.6,16,15.8,-0.18,Sunny <10kt winds Current,0.5,Possesion Sound Entrance/Deep Zoom,15.8333333333333,15.8,1.08666666666667,2.66
Geocortex.Gis.Geometries.Polygon,Possession Point,"Aug 14, 2023",85.8871995486428,3.21810264646746,Island,Possession Point,10:19 AM,10:55 AM,clear,Glendale (9447814),"Sori and Bryozoans were most present on the east side of the bed specifically along the south east edge. Two sea lions spotted, one followed and attempted to intimidate us. High current along the east side of the bed. Few kelp crabs.","Most Sparse Near Shore, Bed extended out south past the track but in sparse clusters that did not quite qualify; moreover, the bed extended west past the end of our survey section. Middle of the south edge was the most dense while the north/north west edge was very sparse (just qualifying). Photos found at waypoints 019 & 705",https://photos.smugmug.com/photos/i-K2tTfVg/0/XL/i-K2tTfVg-XL.jpg,,0.06,1.35,3.33,6.69,4.86,16.8,16.5,17.2,18.6,0.35,Strong 10kt wind from NE,,Glendale,17,17.55,2.34,5.775
Geocortex.Gis.Geometries.Polygon,North Beach East,"Aug 12, 2023",18.1881459024092,1.14440123416759,Jefferson,North Beach Main,08:30 AM,10:05 AM,clouds,Port Townsend (9444900),"STRONG currents - measurements may not match GPS coordinates precisely; Healthy appearing kelp furthest from shore; Other species: 2 kelp crab, 1 seal, 2 blue herons and 3 dozen geese flying overhead, ""stunted"" feather boa covered in epiphytic/diatomaceous growth closer to shore, silty along shore; Gap persists at center of the bed",,No image,,-0.23,4.43,1.5,7.08,4.55,11.8,11.8,12.3,11.8,-0.01,Air temp: 65 degrees F; Wind: W-NW 7-8 MPH; Waning crescent moon (new moon 8/16/2023),1.5,DeepZoom-Point Wilson,12.05,11.8,2.965,5.815
Geocortex.Gis.Geometries.Polygon,North Beach East,"July 15, 2023",13.8232459995922,1.16694508184006,Jefferson,North Beach Main,09:10 AM,10:45 AM,clear,Port Townsend (9444900),"Other species present: eelgrass interspersed along shore, school of 4-5"" length fish, fucus, moon jelllyfish, 2 seals, feather boa prevalent along shore, 3 kelp crabs, numerous (~5) small schools of small (under 1-2"") fish along shore; Bed appears patchy with areas of evenly distributed bulbs and other areas with gaps, denser areas along the outer edge NW edge away from shore, along shore, and small cluster in center; Sori present on blades; 50/50 bull kelp and feather boa along the shore, though blades appear ""stunted"" and covered in (epiphytic/diatomaceous?) growth - many clusters along shore that don't quite reach the surface like other areas further offshore with healthy appearing blades",,https://photos.smugmug.com/photos/i-jbLBCv9/0/XL/i-jbLBCv9-XL.jpg,,-0.51,3.94,1.29,4.55,3.79,7.6,11.5,12.1,11.5,-0.04,Winds: W-NW 6-10mph; Air temp: 60-65 degrees F morning and 75 towards afternoon; Waning-crescent moon,2,DeepZoom,9.85,11.5,2.615,4.17
Geocortex.Gis.Geometries.Polygon,Biz Point,"June 14, 2023",0.28960874283086,0.264494363590712,Skagit,Biz Point,07:30 AM,07:50 AM,clouds,Burrows Bay (9448683),"The kelp bed was only a narrow band along the rocky cliffs similar to last June 2022. In previous surveys before 2022, this kelp bed was significantly wider. 
We arrived at 7:30 AM.which was 46 mins before the predicted slack current according to Deep Zoom, however Flood Tide was already starting. Next survey we will arrive at least 15 minutes earlier. The Kelp appeared very healthy,. very young and undamaged. A Harbor Seal observed us for a few minutes when we started and later I observed 3 Harbor Porpoises about 100 yards South of us. I located two healthy Purple Sea Stars along the cliffs.","The celsius thermometer that I used during this survey had large separations between the liquid so I could not get a temperature reading.  A temperature logger (RBR solo 3) was deployed throughout this survey.
Phil Latendresse took a video of the bed.
Times ( When I save draft they become 12:00) Waypoints - 001 - 7:37, 002 - 7:41, 003 - 7:50, Start Time 7:30, End Time 7:50",No image,,-0.12,,,1.38,,,,,,-0.11,,0,Burroughs Bay (9448683),,,,1.38
Geocortex.Gis.Geometries.Polygon,Biz Point,"July 13, 2023",0.623530735368423,0.345254262430889,Skagit,Biz Point,06:34 AM,07:05 AM,clear,Burrows Bay (9448683),"This kelp bed was only a narrow band along the cliffs during our June 14th survey last month. However during this survey it has shown significant growth. The kelp throughout this bed was dense, healthy, and vigorous. We observed little wildlife during this survey but we did locate 8 healthy Purple Sea Stars along the cliffs which is 6 more than the June survey. There has always been sparse kelp bulbs that were scattered parallel along the beach south of this kelp bed. Over the last several years, the kelp along the beach at Telegraph Bite has grown more dense and grown into the south end of the Biz Point kelp bed.","Phil Latendresse took a video.
A RBR solo 3 temperature blogger was deployed during this survey.
Denby Lloyd took photos.",No image,,-0.26,,,5.32,,,10.5,,,-0.27,"The sky was clear. It was breezy with small wind-driven waves. Flood current was already starting along the northern half of the bed, although there was no current along the southern half.
When we arrived 65 minutes before slack current predicted by the Deep Zoom app., flood current was already flowing along the north half of this bed. At the point farthest from shore and the south half of the bed the current was essentially slack.",0,Burrows Bay,,10.5,,5.32
Geocortex.Gis.Geometries.Polygon,Biz Point,"Aug 13, 2023",1.23519226661555,0.486344735404969,Skagit,Biz Point,07:25 PM,08:16 PM,clear,Burrows Bay (9448683),"This kelp bed has been expanding in width since our survey in June, however it appeared to not be as wide as it had been in previous years. Also the northern half of the bed was not as dense as in previous years.
At the northern edge of the bed, the next kelp bed has usually had a narrow connection to the Biz Point bed. Now the connection is much wider so we included this ""northern bed"" in our GPS track.
Similarly, as noted in a previous survey, a new bed along the beach has formed and grown into the south end of the Biz Point bed and therefore was also included in our GPS track.
While the northern portion of the Biz Point bed was a bit less dense than usual, the central and southern areas were very dense. All of the Kelp throughout looked vigorous and healthy showing no damage or deterioration. Denby pointed out that there no epiphytes growing on the kelp.
Wildlife Observed
In addition to being a spectacular morning, we observed more wildlife than we did on any previous survey. As we started our survey we observed a harbor seal and a harbor porpoise. Bait/forage fish were jumping and a dead surf perch was floating on the surface. Large schools of tiny fish were seen within and adjacent to the kelp. A huge Stellar sea lion surfaced and for a few long seconds swam with his mouth open directly towards Phil. An Osprey was active during our survey and a Great Blue Heron was standing on a nearby rock intently staring into the water. We heard Northern Flickers and Belted Kingfishers. On the paddle out to the kelp beds, we observed Pigeon Guillemots and on the way back, Marbled Murrelets.
Sea Stars: 5 healthy Purple Sea Stars were located on the rock cliff interior of the bed and 3 were located in the additional area to the north.","A RBR solo 3 temperature logger was deployed thoughout this survey.
Phil Latendresse took a video after the GPS tracks were completed.",No image,,-0.02,,,4.55,,,11,,,-2.18,"Calm sea. Predicting the time of Slack Current at this Biz Point kelp bed is always difficult and is never close to the actual time. On the day of this survey, low tide was predicted to be at 9:00 AM, and using Deep Zoom, slack tide was predicted to be to be at approximately 8:41 AM. We arrived at the bed at 7:21 AM and found a beginning Flood Current already flowing at the north end of the bed. So Flood Current was already starting one hour and thirty nine minutes before predicted low tide and one hour and twenty minutes before predicted slack current. The central and southern edge of the bed did have slack current when we arrived.",-0.5,Average of Burrows Bay (9448683) and Deception Pass,,11,,4.55
Geocortex.Gis.Geometries.Polygon,Biz Point,"Sept 27, 2023",0.957630688230513,0.359936614276111,Skagit,Biz Point,07:15 AM,07:53 AM,clouds,Burrows Bay (9448683),"Because kelp beds to the North and to the South have grown into the Biz Point kelp bed, we included them in our G.P.S.
Track.
   The northern portion of the original Biz Point bed was less dense than the Central and Southern portion. Even though
it was late in the season, most of the kelp was still vigorous and healthy showing no damage.  We observed a few 
epiphytes growing on the kelp.
   A great Blue Heron allowed us to paddle exceptionally close to him before he flew to another portion of the bed. He stayed during most of the survey moving to different  parts of the bed.  Two harbor porpoises surprised Phil by surfacing next to him.
   We located only 1 sea star along the original Biz Point Bed and 1 in the northern addition.","A Centigrade Thermometer  was not available because it was no longer functional after the Coffin Rocks crew used it.
Phil took a video of the kelp bed during our survey.",No image,,0.14,,,7.94,,,11.9,,,-0.15,"Calm wind with occasional gusts. Water was flat to small waves. A storm including rain and wind nearby but the cliffs protected us from the wind.
We arrived at the north end of this kelp bed @ 7:25AM and noted that a very weak Flood Current was starting.  That was  1 hour and 16 minutes earlier than slack current was predicted by ""Deep Zoom"" at 8:41AM.  Also noted that low tide was predicted at 8:47AM.  The difference between predicted time of slack current and actual time of slack current is typical of this site.  The central area (including waypoint 007) and the Southern area did have slack current when we arrived.",0,Burrows Bay (9448683),,11.9,,7.94
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,"June 21, 2023",1.08529913644724,0.209539940327743,Skagit,Coffin Rocks,12:47 PM,12:46 PM,clouds,Burrows Bay (9448683),"Pair of black oyster catchers on rocks, kelp very healthy appearing with fresh bulbs still under surface.",,https://photos.smugmug.com/photos/i-hXDWQfx/0/XL/i-hXDWQfx-XL.jpg,,-0.3,6.13,7.04,11.62,7.04,,,,,0.03,"Calm wind, slack current, kelp moving south on west side of Coffins Rocks, and north on east side of rocks.   Many of fresh kelp bulbs under water.",0,Deception Pass,,,6.585,9.33
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,"July 20, 2023",1.40545130213977,0.245873250117322,Skagit,Coffin Rocks,11:42 AM,12:06 PM,clear,Burrows Bay (9448683),Density of kelp bed more since since June survey.  Many younger kelp bulbs apparent below surface of water at slack current.  On black oyster catcher observed perched on rock top.   Health of kelp in general very good.   No sargassum weed observed in this kelp bed in the perimeter.   Much boat traffic with boat wake wave action on outer bed,,https://photos.smugmug.com/photos/i-ZM3GH5p/0/XL/i-ZM3GH5p-XL.jpg,,-0.3,6.61,6,9.97,5.09,12.2,12.2,12.8,12.8,-0.09,"Fog at launch but cleared during approach to rocks. Wind light and calm with slight breeze 3-5 knots and rippled sea. Current moving south of west side of rocks, and north on east side of rocks.",0,Deception Pass,12.5,12.5,6.305,7.53
Geocortex.Gis.Geometries.Polygon,Coffin Rocks,"Aug 15, 2023",1.62153391465468,0.245322391878823,Skagit,Coffin Rocks,09:30 AM,09:50 AM,clear,Burrows Bay (9448683),"Coffin Rocks kelp bed very dense especially on west side of rock.  Numerous birds nrock: gulls, immatue gulls, two oyster catchers, and one cormorant.  Sea lion observed thrashing in water SE of rock in Bowman Bay.   Harbor seal observed by one volunteer, and harbor purpose observed one volunteer NW of rock.   Kelp appears very healthy with blades fully intact, young growth still apparent.",,https://photos.smugmug.com/photos/i-MzmpWPZ/0/XL/i-MzmpWPZ-XL.jpg,,-0.3,6.85,4.41,11.12,10.2,11.5,11.5,11.5,11.5,-0.16,"Calm wind, no chop except for occasional boat wakes.   Current slack.   Lots of single bulbs of kelp in Bowman Bay but not enough to be a bed, scattered between rocks.   Heavy boat traffic in and out of Deception Pass during slack current.",0,Deception Pass,11.5,11.5,5.63,10.66
Geocortex.Gis.Geometries.Polygon,Shannon Point East,"June 1, 2023",0.0965367340998033,0.0704110335655024,Skagit,Shannon Point East,09:30 AM,11:00 AM,clear,Ship Harbor (9448772),"Very sparse kelp and only noted two small beds. Bed 1 clustered the perimeter of an exposed rock approx 20 bulbs (WP 19-21).  The second bed (WP 22) was only 15' across but had 13 tightly clustered bulbs. Significant sargassum at shoreline, more sparse offshore. Noted two deer on beach, one seal, 5 oyster catchers, 1 heron, 2 belted king fishers, several small silver jumping fish about.","Current was much stronger than current tables suggested, possible 1-2 knots higher than expected making tight measures around beds difficult. The Guemes Channel is notorious for intersecting currents, but we used the same Current Table as previous surveys (Guemes Channel West).",https://photos.smugmug.com/photos/i-87TXBnw/0/XL/i-87TXBnw-XL.jpg,,0,1.03,1.18,1.79,2.4,11.1,11.1,11.1,11.1,-0.04,"Calm seas, except boat waves; little to no wind; current pick up as we neared the bed.  Very sparse kelp observed.",-1,Guemes Channel West,11.1,11.1,1.105,2.095
Geocortex.Gis.Geometries.Polygon,Shannon Point East,"July 1, 2023",0.441252993425508,0.133990539018706,Skagit,Shannon Point East,10:50 AM,11:10 AM,clear,Ship Harbor (9448772),"Kelp bulbs were very sparsely spread out, mostly located around large rock, but healthy with long blades. Dense sargassum at shoreline and near shore. Some red-brown kelp observed at deeper end of sargassum (no rib, 6-8' long) with white round growths - ID? see photo - but shallower than bull kelp. One kingfisher observed and lots of jumping silver fish.",,https://photos.smugmug.com/photos/i-Xm95TL3/0/XL/i-Xm95TL3-XL.jpg,,-0.46,1.74,1.43,1.74,2.65,11.7,11.7,11.7,11.7,-0.24,"Mostly calm conditions, some boat waves, forecast of gusts but was benign with a few puffs. Current was near slack and not difficult to stay in place for data collection. Bull kelp present but very sparse. Many individual bulbs outside of track to the west.",-0.1,Guemes Channel West,11.7,11.7,1.585,2.195
Geocortex.Gis.Geometries.Polygon,Shannon Point East,"Aug 4, 2023",1.21688674430895,0.234531241337464,Skagit,Shannon Point East,13:30 PM,02:15 PM,clear,Ship Harbor (9448772),"Sargassum present, but not solid expanse along shoreline. Two osprey overhead of nearshore forest, one Great Blue Heron flushed from edge. Two kelp crab observed on kelp, likely more. Not abundant nor overwhelming kelp in this bed. However, kelp in great shape, blades robust.",,https://photos.smugmug.com/photos/i-dmMBQRj/0/XL/i-dmMBQRj-XL.jpg,,-0.3,1.2,1.94,3.87,3.21,12.8,12.8,12.8,12.8,-0.09,"After launch, proceeded to the east bed (farthest from launch). We should have done the west first as it was quite large, but under water by the time we returned.  Kelp healthy and in great shape, but not abundant.",-1,Guemes Channel West,12.8,12.8,1.57,3.54
